Resource,Liquid_DAC_1,Liquid_DAC_2,Liquid_DAC_3,Solid_DAC_1,Solid_DAC_2,Solid_DAC_3
Zone,1,2,3,1,2,3
AnnualSum,0.0,0.0,0.0,572087.5,129012.875,48455.586
t1,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t2,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t3,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t4,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t5,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t6,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t7,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t8,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t9,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t10,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t11,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t12,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t13,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t14,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t15,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t16,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t17,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t18,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t19,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t20,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t21,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t22,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t23,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t24,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t25,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t26,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t27,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t28,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t29,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t30,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t31,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t32,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t33,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t34,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t35,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t36,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t37,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t38,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t39,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t40,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t41,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t42,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t43,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t44,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t45,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t46,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t47,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t48,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t49,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t50,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t51,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t52,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t53,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t54,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t55,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t56,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t57,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t58,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t59,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t60,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t61,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t62,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t63,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t64,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t65,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t66,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t67,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t68,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t69,0.0,0.0,0.0,3405.2828879710337,710.1264530874984,288.42610731477976
t70,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t71,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t72,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t73,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t74,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t75,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t76,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t77,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t78,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t79,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t80,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t81,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t82,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t83,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t84,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t85,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t86,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t87,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t88,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t89,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t90,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t91,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t92,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t93,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t94,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t95,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t96,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t97,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t98,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t99,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t100,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t101,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t102,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t103,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t104,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t105,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t106,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t107,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t108,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t109,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t110,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t111,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t112,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t113,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t114,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t115,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t116,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t117,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t118,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t119,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t120,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t121,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t122,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t123,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t124,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t125,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t126,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t127,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t128,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t129,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t130,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t131,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t132,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t133,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t134,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t135,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t136,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t137,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t138,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t139,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t140,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t141,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t142,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t143,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t144,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t145,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t146,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t147,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t148,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t149,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t150,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t151,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t152,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t153,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t154,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t155,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t156,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t157,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t158,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t159,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t160,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t161,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t162,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t163,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t164,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t165,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t166,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t167,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
t168,0.0,0.0,0.0,3405.2828879710337,768.2799293113683,288.42610731477976
