,Generation,H2-G2P,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,H2-G2P,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,H2-G2P,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3
AnnualSum,1.7132610669117442e6,0.0,-165.6986280797258,0.0,0.0,0.0,427.24943530514025,0.0,0.0,0.0,-1.5820827342465755e6,481629.52410432335,0.0,-1061.1571704345874,0.0,0.0,0.0,120.21710748517236,0.0,0.0,0.0,-451913.7863013698,227881.5519202831,0.0,-7390.117073120122,0.0,0.0,0.0,79.26717755837592,0.0,0.0,0.0,-215680.9123287671
t1,8347.462983075788,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-7564.2479188424495,2337.6084935982726,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2160.904109856658,1097.2180504546254,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1030.8800457722261
t2,7950.2296247370205,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-7167.014560503682,2224.097966426814,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2047.3935826851991,1042.5740521058428,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-976.2360474234434
t3,7752.663827468004,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-6969.448763234665,2167.3427028410847,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1990.63831909947,1224.990173884668,0,-208.68727483112437,0,0,-0.0,0.0,0.0,0.0,-0.0,-949.9648943711442
t4,7692.763559147079,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-6909.548494913741,2150.526328445313,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1973.8219447036981,1007.8961300768076,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-941.5581253944083
t5,7846.192316600676,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-7062.977252367338,2194.6693112342136,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2017.964927492599,1237.6003273497715,0,-208.68727483112437,0,0,-0.0,0.0,0.0,0.0,-0.0,-962.5750478362478
t6,8352.717392577624,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-7569.502328344285,2339.7105403977444,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2163.0061566561294,1221.208481011157,0,-122.9395844344393,0,0,-0.0,0.0,0.0,0.0,-0.0,-1031.9308918943182
t7,9555.977168497962,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-8772.762104264624,2682.3441687115915,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2505.639784969977,1368.57274837764,0,-106.37185675457482,0,0,-0.0,0.0,0.0,0.0,-0.0,-1195.862886940666
t8,10639.436407776451,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-9856.221343543113,2992.3960716336314,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2815.691687892017,1200.6320738848171,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1342.9813440335422
