Resource,MA_natural_gas_combined_cycle,MA_solar_pv,CT_natural_gas_combined_cycle,CT_onshore_wind,CT_solar_pv,ME_natural_gas_combined_cycle,ME_onshore_wind,MA_battery,CT_battery,ME_battery
Zone,1,1,2,2,2,3,3,1,2,3
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.755944849206422e6,-3.1723624198065097e6,-271.73913043478257
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.755944849206422e6,-3.1723624198065097e6,-271.73913043478257
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.755944849206422e6,-3.1723624198065097e6,-271.73913043478257
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.755944849206422e6,-3.1723624198065097e6,-271.73913043478257
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.755944849206422e6,-3.1723624198065097e6,-271.73913043478257
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.755944849206422e6,-3.1723624198065097e6,-271.73913043478257
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.755944849206422e6,-3.1723624198065097e6,-271.73913043478257
t8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.755944849206422e6,-3.1723624198065097e6,-1.999787004077638e6
t9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.755944849206422e6,-3.1723624198065097e6,-1.999787004077638e6
t10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.755944849206422e6,-3.1723624198065097e6,-1.999787004077638e6
t11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.755944849206422e6,-3.1723624198065097e6,-1.999787004077638e6
t12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.755944849206422e6,-3.1723624198065097e6,-1.999787004077638e6
t13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.755944849206422e6,-271.73913043478257,-1.999787004077638e6
t14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.755944849206422e6,-271.73913043478257,-271.73913043478257
t15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.755944849206422e6,-271.73913043478257,-271.73913043478257
t16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.755944849206422e6,-3.1723624198065097e6,-271.73913043478257
t17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.755944849206422e6,-3.1723624198065097e6,-271.73913043478257
t18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.755944849206422e6,-3.1723624198065097e6,-271.73913043478257
t19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.755944849206422e6,-3.1723624198065097e6,-271.73913043478257
t20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.412740786821204e6,-3.1723624198065097e6,-271.73913043478257
t21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.7559448492064215e6,-3.1723624198065097e6,-271.73913043478257
t22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.7559448492064215e6,-3.1723624198065097e6,-271.73913043478257
t23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.755944849206422e6,-3.1723624198065097e6,-271.73913043478257
t24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.755944849206422e6,-3.1723624198065097e6,-271.73913043478257
t25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.755944849206422e6,-3.1723624198065097e6,-271.73913043478257
t26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.755944849206422e6,-3.1723624198065097e6,-271.73913043478257
t27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.755944849206422e6,-3.1723624198065097e6,-271.73913043478257
t28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.755944849206422e6,-3.1723624198065097e6,-271.73913043478257
t29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.755944849206422e6,-3.1723624198065097e6,-271.73913043478257
t30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.755944849206422e6,-3.1723624198065097e6,-271.73913043478257
t31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.755944849206422e6,-3.1723624198065097e6,-3.123119916746047e6
