Zone,1,2,3,Total
AnnualSum,0.0,23.818178,0.0,23.818178
t1,0.0,0.0,0.0,0.0
t2,0.0,0.0,0.0,0.0
t3,0.0,0.0,0.0,0.0
t4,0.0,0.0,0.0,0.0
t5,0.0,0.0,0.0,0.0
t6,0.0,0.0,0.0,0.0
t7,0.0,0.0,0.0,0.0
t8,0.0,0.12485023823208835,0.0,0.12485023823208835
t9,0.0,0.17751193818938327,0.0,0.17751193818938327
t10,0.0,0.22891335814770022,0.0,0.22891335814770022
t11,0.0,0.22891335814770022,0.0,0.22891335814770022
t12,0.0,0.22891335814770022,0.0,0.22891335814770022
t13,0.0,0.22891335814770022,0.0,0.22891335814770022
t14,0.0,0.22891335814770022,0.0,0.22891335814770022
t15,0.0,0.22891335814770022,0.0,0.22891335814770022
t16,0.0,0.22891335814770022,0.0,0.22891335814770022
t17,0.0,0.22891335814770022,0.0,0.22891335814770022
t18,0.0,0.22891335814770022,0.0,0.22891335814770022
t19,0.0,0.06516697828048726,0.0,0.06516697828048726
t20,0.0,0.0,0.0,0.0
t21,0.0,0.0,0.0,0.0
t22,0.0,0.0,0.0,0.0
t23,0.0,0.0,0.0,0.0
t24,0.0,0.0,0.0,0.0
t25,0.0,0.0,0.0,0.0
t26,0.0,0.0,0.0,0.0
t27,0.0,0.0,0.0,0.0
t28,0.0,0.0,0.0,0.0
t29,0.0,0.0,0.0,0.0
t30,0.0,0.0,0.0,0.0
t31,0.0,0.0,0.0,0.0
t32,0.0,0.0,0.0,0.0
t33,0.0,0.10909673824486334,0.0,0.10909673824486334
t34,0.0,0.21919119815558427,0.0,0.21919119815558427
t35,0.0,0.22891335814770022,0.0,0.22891335814770022
t36,0.0,0.22891335814770022,0.0,0.22891335814770022
t37,0.0,0.22891335814770022,0.0,0.22891335814770022
t38,0.0,0.22891335814770022,0.0,0.22891335814770022
t39,0.0,0.22891335814770022,0.0,0.22891335814770022
t40,0.0,0.22891335814770022,0.0,0.22891335814770022
t41,0.0,0.22891335814770022,0.0,0.22891335814770022
t42,0.0,0.22891335814770022,0.0,0.22891335814770022
t43,0.0,0.12746081822997127,0.0,0.12746081822997127
t44,0.0,0.0,0.0,0.0
t45,0.0,0.0,0.0,0.0
t46,0.0,0.0,0.0,0.0
t47,0.0,0.0,0.0,0.0
t48,0.0,0.0,0.0,0.0
t49,0.0,0.0,0.0,0.0
t50,0.0,0.0,0.0,0.0
t51,0.0,0.0,0.0,0.0
t52,0.0,0.0,0.0,0.0
t53,0.0,0.0,0.0,0.0
