Resource,Zone,StartCap,RetCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
Small_Electrolyzer_1,1,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Small_Electrolyzer_2,2,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Small_Electrolyzer_3,3,0,0.0,211.1908887594737,211.1908887594737,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Flex_Demand_1,2,4,0.0,0.0,4,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Large_SMR_1,1,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Large_SMR_2,2,0,0.0,25.429166666666646,25.429166666666646,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Large_SMR_3,3,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Large_SMR_wCCS_90pct_1,1,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Large_SMR_wCCS_90pct_2,2,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Large_SMR_wCCS_90pct_3,3,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Above_ground_storage_1,1,0,0.0,0.0,0.0,0,0.0,118.2074914026196,118.2074914026196,0,0.0,4.860721267617902,4.860721267617902
Above_ground_storage_2,2,0,0.0,0.0,0.0,0,0.0,512.0428571428573,512.0428571428573,0,0.0,20.440833333333337,20.440833333333337
Above_ground_storage_3,3,0,0.0,0.0,0.0,0,0.0,4692.977253858869,4692.977253858869,0,0.0,89.43858254316555,89.43858254316555
Total,n/a,4,0.0,236.62005542614034,240.62005542614034,0,0.0,5323.227602404346,5323.227602404346,0,0.0,114.74013714411679,114.74013714411679
