,Generation,Flexible_Demand_Defer,Flexible_Demand_Satisfy,Storage Discharging,Storage Charging,Nonserved_Energy,H2_Pipeline_Import/Export,H2_Truck_Import/Export,G2P Demand,Demand,Generation,Flexible_Demand_Defer,Flexible_Demand_Satisfy,Storage Discharging,Storage Charging,Nonserved_Energy,H2_Pipeline_Import/Export,H2_Truck_Import/Export,G2P Demand,Demand,Generation,Flexible_Demand_Defer,Flexible_Demand_Satisfy,Storage Discharging,Storage Charging,Nonserved_Energy,H2_Pipeline_Import/Export,H2_Truck_Import/Export,G2P Demand,Demand
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3
AnnualSum,0.0,0.0,0.0,377.0702550445092,-377.0702550445071,0.0,2590.969999999997,0.0,0.0,-2590.9699999999993,2645.8762842040464,34.38,-38.2,1435.4847517009782,-1435.4847517009787,0.0,12603.173715795954,0.0,0.0,-15245.23,20935.29371579595,0.0,0.0,3592.5790030446187,-3592.579003044614,0.0,-15194.143715795955,0.0,0.0,-5741.15
t1,0.0,0,0,0.0,-4.860721267617902,0.0,6.480721267617902,0,0.0,-1.62,0.0,0.0,-0.08712999999999993,0.0,-20.440833333333337,0.0,30.037963333333334,0,0.0,-9.51,106.22693432676218,0,0,0.0,-0.0,0.0,-102.64693432676218,0,0.0,-3.58
t2,0.0,0,0,0.0,-4.860721267617902,0.0,6.080721267617902,0,0.0,-1.22,0.0,0.0,-0.0,0.0,-20.440833333333337,0.0,27.610833333333346,0,0.0,-7.17,147.12492596278767,0,0,0.0,-25.692619746479565,0.0,-118.73230621630813,0,0.0,-2.7
t3,0.0,0,0,0.0,-4.860721267617902,0.0,6.610721267617901,0,0.0,-1.75,0.0,0.0,-0.008712999999999985,0.0,-20.440833333333337,0.0,30.739546333333337,0,0.0,-10.29,123.33075120518671,0,0,0.0,-0.7184449888785683,0.0,-118.73230621630813,0,0.0,-3.88
t4,0.0,0,0,0.0,-4.860721267617902,0.0,8.860721267617901,0,0.0,-4.0,0.0,0.0,-0.0,0.0,-20.440833333333337,0.0,43.99083333333334,0,0.0,-23.55,160.50789671411422,0,0,0.0,-32.9055904978061,0.0,-118.73230621630813,0,0.0,-8.87
t5,0.0,0,0,0.0,-4.860721267617902,0.0,13.100721267617914,0,0.0,-8.24,0.0,0.0,-0.0009681111111111094,0.0,-20.440833333333337,0.0,68.94180144444448,0,0.0,-48.5,180.67349211410544,0,0,0.0,-43.671185897797365,0.0,-118.73230621630813,0,0.0,-18.27
t6,0.0,0,0,0.0,-4.860721267617902,0.0,18.2707212676179,0,0.0,-13.41,0.0,0.0,-0.0,0.0,-20.440833333333337,0.0,99.36083333333335,0,0.0,-78.92,185.18515240889172,0,0,0.0,-36.732846192583665,0.0,-118.73230621630813,0,0.0,-29.72
t7,0.0,0,0,0.0,-2.581472882974783,0.0,19.371472882974782,0,0.0,-16.79,0.0,0.0,-0.0,0.0,-0.5608333333333491,0.0,99.36083333333335,0,0.0,-98.8,155.9423062163081,0,0,0.0,-0.0,0.0,-118.73230621630813,0,0.0,-37.21
t8,0.0,0,0,0.0,-0.13147288297478354,0.0,19.371472882974782,0,0.0,-19.24,13.869166666666658,0.0,-0.0,0.0,-0.0,0.0,99.36083333333335,0,0.0,-113.23,99.33752866929052,0,0,0.0,-0.0,0.0,-56.69752866929052,0,0.0,-42.64
t9,0.0,0,0,0.8685271170252165,-0.0,0.0,19.371472882974782,0,0.0,-20.24,19.719166666666652,0.0,-0.0,0.0,-0.0,0.0,99.36083333333335,0,0.0,-119.08,99.93745455630399,0,0,0.0,-0.0,0.0,-55.09745455630399,0,0.0,-44.84
