Biomass_cost_z1,Biomass_cost_z2,Biomass_cost_z3
117.2521125,3165.687668,4539.26076
199.8767725,5684.799584,6145.064699
2197.120895,5686.351477,9591.557287
2438.640212,5729.626781,9610.802436
2593.354641,5784.355723,9908.238587
2656.485412,6081.716843,10318.57382
2729.880146,6083.015917,10507.41865
2742.230452,6695.629413,10782.05421
2760.379071,,13055.1469
2764.382966,,13913.79924
2787.359244,,17109.26448
2811.345273,,17275.60163
3688.642553,,17714.16053
3692.110811,,19487.91708
6458.23946,,21895.38112
7281.993971,,21906.516
7330.557063,,23103.32957
7335.924523,,24740.25646
7354.026223,,25411.11525
8061.967595,,25756.66557
8064.146779,,28618.98121
13138.52243,,
13175.20727,,
13181.0021,,
13182.84099,,
13190.44514,,
13290.55001,,
13411.72457,,
13418.64471,,
13429.3522,,
13432.43228,,
13479.59554,,
13902.34499,,
13902.47143,,
13927.8903,,
13938.45877,,
13938.84108,,
13940.62403,,
13978.98264,,
13981.45743,,
14018.78282,,
14043.25704,,
15695.88965,,
