Quantity_tonne_per_hr_z1,Quantity_tonne_per_hr_z2,Quantity_tonne_per_hr_z3
1.288492352,16.00010833,32.20744018
2.182214269,28.29297934,43.15247911
22.86271244,28.3002282,66.60123699
25.25453196,28.50009886,66.72996199
26.77893368,28.75206005,68.65120525
27.39231895,30.1190508,71.27572386
28.0791282,30.12495263,72.46138116
28.19428676,32.87716062,74.18161473
28.36340011,,88.12554121
28.40047454,,93.38224178
28.61256518,,112.9384936
28.83335491,,113.9374324
36.61132489,,116.5684753
36.64197865,,127.2004526
60.23468482,,141.5048712
67.18893938,,141.5703211
67.59530845,,148.4864656
67.64004635,,157.8777953
67.78958687,,161.697188
73.607375,,163.6389362
73.62518733,,179.0834457
115.0497694,,
115.3490575,,
115.3961773,,
115.4109863,,
115.4713618,,
116.256553,,
117.1998801,,
117.2529029,,
117.3343009,,
117.3573947,,
117.7103269,,
120.8260301,,
120.8269616,,
121.0101591,,
121.082651,,
121.0852424,,
121.0971517,,
121.3514949,,
121.3675467,,
121.5949643,,
121.7427443,,
130.0016465,,
