Resource,Small_Electrolyzer_1,Small_Electrolyzer_2,Small_Electrolyzer_3,Flex_Demand_1,Large_SMR_1,Large_SMR_2,Large_SMR_3,Large_SMR_wCCS_90pct_1,Large_SMR_wCCS_90pct_2,Large_SMR_wCCS_90pct_3,Above_ground_storage_1,Above_ground_storage_2,Above_ground_storage_3,Total
Zone,1,2,3,2,1,2,3,1,2,3,1,2,3,0
AnnualSum,0.0,0.0,0.0,4363.3345,0.0,0.0,0.0,0.0,0.0,0.0,30416.02,203791.33,80086.04,318656.72
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.150512277247685,73.7610338607131,30.277083333333326,113.1886294712941
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.150512277247685,73.7610338607131,30.277083333333326,113.1886294712941
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.150512277247685,73.7610338607131,30.277083333333326,113.1886294712941
t4,0.0,0.0,0.0,0.8740000000000006,0.0,0.0,0.0,0.0,0.0,0.0,9.150512277247685,67.23503386071309,22.92387500000035,100.18342113796112
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7014383615091,41.41103386071309,16.127083333333328,66.23955555555551
t6,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5314383615090996,14.991033860713088,4.677083333333329,27.199555555555516
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15143836150910062,0.0,0.0,0.15143836150910062
t8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t17,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
t18,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
t19,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
t20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.357374999999994,0.357374999999994
t21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4414383615091,20.1510338607131,11.137083333333326,37.72955555555552
t22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.150512277247685,46.86103386071309,18.187083333333327,74.19862947129411
t23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.150512277247685,62.84103386071309,24.35708333333333,96.34862947129409
