Resource,MA_natural_gas_combined_cycle,MA_solar_pv,CT_natural_gas_combined_cycle,CT_onshore_wind,CT_solar_pv,ME_natural_gas_combined_cycle,ME_onshore_wind,MA_battery,CT_battery,ME_battery
Zone,1,1,2,2,2,3,3,1,2,3
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-24.051895444058758
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-24.051895444058758
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-24.051895444058758
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-24.051895444058758
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-24.051895444058758
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-24.051895444058758
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-24.051895444058758
t8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-24.051895444058758
t9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-24.051895444058758
t10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-24.051895444058758
t11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-24.051895444058758
t12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-24.051895444058758
t13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-24.051895444058758
t14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-562.7979154258487,-399.96645923414746,-563.2628543481684
t15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-258.5717984300109,-133.74871441616722,-134.7339827162546
t16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-258.5717984300109,-133.74871441616722,-134.7339827162546
t17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-296.6019097383032,-134.7339827162546
t18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-24.051895444058758
t19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-24.051895444058758
t20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-24.051895444058758
t21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-24.051895444058758
t22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-24.051895444058758
t23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-24.051895444058758
t24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-24.051895444058758
t25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-24.051895444058758
t26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-24.051895444058758
t27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-24.051895444058758
t28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-24.051895444058758
t29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-24.051895444058758
t30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-24.051895444058758
t31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-24.051895444058758
t32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-24.051895444058758
t33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-24.051895444058758
t34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-24.051895444058758
t35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-24.051895444058758
t36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-24.051895444058758
t37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-24.051895444058758
t38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-24.051895444058758
t39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-24.051895444058758
t40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-24.051895444058758
t41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-24.051895444058758
t42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-24.051895444058758
