Voll,Demand_Segment,Segment_Cost_of_Demand_Curtailment_Fraction,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_liqH2_MW_z1,Load_liqH2_MW_z2,Load_liqH2_MW_z3
1.2696800406297613e6,1,1,0,1,168,1,1,31.897800000000004,187.2519,70.4902
,,,,,,,2,24.021800000000002,141.1773,53.163000000000004
,,,,,,,3,34.4575,202.6101,76.3972
,,,,,,,4,78.76,463.69950000000006,174.6503
,,,,,,,5,162.24560000000002,954.965,359.7363
,,,,,,,6,264.04290000000003,1553.9348000000002,585.1868000000001
,,,,,,,7,330.5951,1945.372,732.6649000000001
,,,,,,,8,378.8356,2229.4987,839.5816000000001
,,,,,,,9,398.5256,2344.6852,882.8996000000001
,,,,,,,10,421.9567,2482.909,935.0781000000001
,,,,,,,11,500.32290000000006,2943.4581000000003,1108.547
,,,,,,,12,532.8114,3135.4356000000002,1180.8093000000001
,,,,,,,13,548.5634,3227.5848,1215.4637
,,,,,,,14,538.1277,3166.1520000000005,1192.2295
,,,,,,,15,532.8114,3135.4356000000002,1180.8093000000001
,,,,,,,16,510.75860000000006,3004.8909000000003,1131.5843
,,,,,,,17,484.5709,2851.3089000000004,1073.6957
,,,,,,,18,428.4544000000001,2521.1076,949.4518
,,,,,,,19,356.78280000000007,2098.954,790.3566000000001
,,,,,,,20,271.9189,1600.0094000000001,602.5140000000001
,,,,,,,21,206.745,1216.0544,457.98940000000005
,,,,,,,22,144.13080000000002,847.6545,319.17490000000004
,,,,,,,23,89.19570000000002,525.1323000000001,197.6876
,,,,,,,24,52.769200000000005,310.1175,116.7617
,,,,,,,25,49.02810000000001,288.8523,108.88570000000001
,,,,,,,26,35.442,208.714,78.5631
,,,,,,,27,32.6854,192.5682,72.45920000000001
,,,,,,,28,48.437400000000004,284.9143,107.3105
,,,,,,,29,87.2267,513.7121000000001,193.35580000000002
,,,,,,,30,143.1463,842.732,317.4028
,,,,,,,31,216.19620000000003,1272.1709,479.0577
,,,,,,,32,295.35,1737.6425000000002,654.2986999999999
,,,,,,,33,373.1255,2195.0412,826.5862
,,,,,,,34,413.8838,2435.8499,917.3571000000002
,,,,,,,35,426.8792,2512.0502,946.1045
,,,,,,,36,445.3878,2620.3452,986.8628
,,,,,,,37,473.9383,2788.8916,1050.2646000000002
,,,,,,,38,495.2035,2913.3324000000002,1097.1268
,,,,,,,39,518.2408,3049.7841,1148.5177
,,,,,,,40,531.2362,3125.9844,1177.2651
,,,,,,,41,505.44230000000005,2973.5838000000003,1119.7703000000001
,,,,,,,42,457.5956,2692.6075,1014.0350000000001
,,,,,,,43,379.8201,2235.2088,841.7475000000001
,,,,,,,44,293.9717,1729.5696000000003,651.3452
,,,,,,,45,224.466,1320.2145,497.1725
,,,,,,,46,173.86270000000002,1023.2893,385.3333
,,,,,,,47,122.07800000000002,718.2912,270.54060000000004
,,,,,,,48,77.77550000000001,457.3987,172.28750000000002
,,,,,,,49,33.2761,195.3248,73.6406
,,,,,,,50,24.4156,143.34320000000002,53.95060000000001
,,,,,,,51,34.260600000000004,201.82250000000002,76.0034
,,,,,,,52,79.7445,469.0158,176.61930000000004
,,,,,,,53,171.49990000000003,1009.5063000000001,380.2139
,,,,,,,54,275.66,1621.8653000000002,610.7838
,,,,,,,55,341.03080000000006,2006.0172,755.5053
,,,,,,,56,390.84650000000005,2299.2013,865.7693
,,,,,,,57,411.71790000000004,2423.0514000000003,912.4346000000002
,,,,,,,58,393.99690000000004,2318.6944000000003,873.2515000000001
,,,,,,,59,391.831,2305.699,868.3290000000001
,,,,,,,60,406.2047,2390.3660000000004,900.2268
,,,,,,,61,431.80170000000004,2540.2069,956.5402
,,,,,,,62,448.34130000000005,2637.8693000000003,993.3605000000001
,,,,,,,63,484.7678000000001,2852.8840999999998,1074.2864000000002
,,,,,,,64,514.6966,3028.7158,1140.6417000000001
,,,,,,,65,500.32290000000006,2944.0488000000005,1108.7439000000002
,,,,,,,66,470.39410000000004,2768.2171000000003,1042.3886
,,,,,,,67,387.49920000000003,2279.7082,858.484
,,,,,,,68,284.5205,1673.8469000000002,630.4738000000001
,,,,,,,69,205.95740000000004,1211.5257000000001,456.2173000000001
,,,,,,,70,154.96030000000002,911.8439000000001,343.39360000000005
,,,,,,,71,91.95230000000001,540.6874,203.5946
,,,,,,,72,51.98160000000001,306.1795,115.1865
,,,,,,,73,34.6544,203.9884,76.791
,,,,,,,74,25.400100000000002,149.644,56.3134
,,,,,,,75,35.835800000000006,210.87990000000002,79.3507
,,,,,,,76,83.28870000000002,489.69030000000004,184.2984
,,,,,,,77,179.179,1054.2026,396.9504
,,,,,,,78,287.8678,1693.3400000000001,637.7591000000001
,,,,,,,79,355.9952,2094.6222000000002,788.7814000000001
,,,,,,,80,407.9768,2400.6048,903.9679
,,,,,,,81,430.0296,2529.7712,952.7991000000001
,,,,,,,82,411.521,2421.0824000000002,911.647
,,,,,,,83,409.1582,2407.4963000000002,906.5276
,,,,,,,84,424.12260000000003,2495.9044000000004,940.0006000000001
,,,,,,,85,450.70410000000004,2652.243,998.8737
,,,,,,,86,468.03130000000004,2754.2372,1037.2692
,,,,,,,87,506.22990000000004,2978.7032000000004,1121.7393
,,,,,,,88,537.537,3162.4109000000003,1190.8512
,,,,,,,89,522.3757,3074.0028,1157.5751
,,,,,,,90,491.26550000000003,2890.2951,1088.4632000000001
,,,,,,,91,404.43260000000004,2380.3241000000003,896.2888000000002
,,,,,,,92,297.1221,1747.6844000000003,658.2367
,,,,,,,93,215.0148,1264.8856,476.3011000000001
,,,,,,,94,161.85180000000003,952.0115000000001,358.55490000000003
,,,,,,,95,95.89030000000001,564.5123000000001,212.65200000000002
,,,,,,,96,54.3444,319.56870000000004,120.30590000000001
,,,,,,,97,36.623400000000004,215.6055,81.12280000000001
,,,,,,,98,26.778400000000005,158.1107,59.463800000000006
,,,,,,,99,37.8048,222.6939,83.8794
,,,,,,,100,87.8174,517.2563,194.7341
,,,,,,,101,189.2209,1113.4695,419.39700000000005
,,,,,,,102,304.0136,1788.8365000000001,673.5949
,,,,,,,103,376.07900000000006,2212.5653,833.2808000000001
,,,,,,,104,431.01410000000004,2535.8751,954.965
,,,,,,,105,454.24830000000003,2672.3268000000003,1006.3559
,,,,,,,106,434.55830000000003,2557.5341,963.0379
,,,,,,,107,432.19550000000004,2543.1604,957.7216000000001
,,,,,,,108,448.1444000000001,2636.4910000000004,992.7698000000001
,,,,,,,109,476.10420000000005,2801.6901,1054.9902
,,,,,,,110,494.4159,2909.3944,1095.7485000000001
,,,,,,,111,534.7804,3146.4620000000004,1184.9442000000001
,,,,,,,112,567.6627,3340.4085000000005,1257.9941000000001
,,,,,,,113,551.9107,3247.0779,1222.749
,,,,,,,114,518.8315,3053.1314,1149.6991
,,,,,,,115,427.273,2514.413,946.8921000000001
,,,,,,,116,313.8586,1846.3313,695.2539
,,,,,,,117,227.0257,1336.1634000000001,503.2764
,,,,,,,118,170.9092,1005.7652,378.8356
,,,,,,,119,101.40350000000001,596.2132,224.466
,,,,,,,120,57.297900000000006,337.6835,127.1974
,,,,,,,121,56.3134,331.77650000000006,125.0315
,,,,,,,122,39.7738,234.11410000000004,88.21120000000002
,,,,,,,123,38.592400000000005,226.6319,85.4546
,,,,,,,124,53.95060000000001,317.9935,119.71520000000001
,,,,,,,125,100.2221,589.7155,222.10320000000002
,,,,,,,126,164.6084,968.3542000000001,364.65880000000004
,,,,,,,127,249.86610000000002,1470.2523,553.6828
,,,,,,,128,339.4556,1996.7629000000002,751.9611
,,,,,,,129,430.22650000000004,2531.5433,953.3898000000002
,,,,,,,130,476.498,2803.4622,1055.7778
,,,,,,,131,491.85620000000006,2894.6269,1090.0384000000001
,,,,,,,132,514.4997,3026.9437,1139.8541
,,,,,,,133,546.5944000000001,3216.5584000000003,1211.3288000000002
,,,,,,,134,570.6162,3357.1450000000004,1264.2948999999999
,,,,,,,135,598.576,3522.1472000000003,1326.3184
,,,,,,,136,614.1311000000001,3613.3119,1360.7759
,,,,,,,137,583.6116000000001,3433.5422000000003,1293.0423
,,,,,,,138,527.8889,3105.7037,1169.586
,,,,,,,139,438.69320000000005,2580.7683,971.8984
,,,,,,,140,341.03080000000006,2006.6079,755.7022000000001
,,,,,,,141,260.3018,1531.0944000000002,576.5232000000001
,,,,,,,142,203.20080000000002,1195.1830000000002,450.1134
,,,,,,,143,141.768,834.4622,314.2524
,,,,,,,144,91.75540000000001,539.7029,203.20080000000002
,,,,,,,145,56.7072,333.9424,125.8191
,,,,,,,146,73.04990000000001,429.6358,161.85180000000003
,,,,,,,147,26.778400000000005,157.3231,59.2669
,,,,,,,148,41.7428,245.73120000000003,92.543
,,,,,,,149,77.97240000000001,458.9739,172.8782
,,,,,,,150,127.98500000000001,753.1425,283.536
,,,,,,,151,195.5217,1150.2898,433.18
,,,,,,,152,276.8414,1628.363,613.3435000000001
,,,,,,,153,361.7053,2128.489,801.5799000000001
,,,,,,,154,465.4716,2739.0759000000003,1031.5591000000002
,,,,,,,155,531.8269,3128.9379000000004,1178.2496
,,,,,,,156,545.413,3209.8638000000005,1208.7691
,,,,,,,157,543.0502,3195.0963000000006,1203.2559
