Zone,1,2,3
t1,-1.1090866613738859e-12,-0.0,-0.0
t2,-1.1507382163600308e-12,-0.0,-0.0
t3,-1.1681906256504324e-12,-0.0,-0.0
t4,-1.1659194593189273e-12,-0.0,-0.0
t5,-1.128314208652262e-12,-0.0,-0.0
t6,-1.0242510707165545e-12,-0.0,-0.0
t7,-8.796925845336439e-13,-0.0,-0.0
t8,-8.216662778267827e-13,-0.0,-0.0
t9,-0.0,-0.0,-0.0
t10,-0.0,-0.0,-0.0
t11,-0.0,-0.0,-0.0
t12,-0.0,-0.0,-0.0
t13,-0.0,-0.0,-0.0
t14,-0.0,-0.0,-0.0
t15,-0.0,-0.0,-0.0
t16,-0.0,-0.0,-0.0
t17,-0.0,-0.0,-0.0
t18,-7.478209697082771e-13,-0.0,-0.0
t19,-7.330003515737977e-13,-0.0,-0.0
t20,-7.480875012842671e-13,-0.0,-0.0
t21,-7.763811750400077e-13,-0.0,-0.0
t22,-8.302794725901875e-13,-0.0,-0.0
t23,-9.13578457753992e-13,-0.0,-0.0
t24,-9.998554277343238e-13,-0.0,-0.0
t25,-4.985980040595552e-13,-0.0,-0.0
t26,-5.211046849513236e-13,-0.0,-0.0
t27,-5.328094978744851e-13,-0.0,-0.0
t28,-5.337127039887343e-13,-0.0,-0.0
t29,-5.192296456051397e-13,-1.817651016011791e-12,-0.0
t30,-4.711279739085054e-13,-0.0,-0.0
t31,-3.9825916929817996e-13,-0.0,-0.0
t32,-0.0,-0.0,-0.0
t33,-0.0,-0.0,-0.0
t34,-0.0,-0.0,-0.0
t35,-0.0,-0.0,-0.0
t36,-0.0,-0.0,-0.0
t37,-0.0,-0.0,-0.0
t38,-0.0,-0.0,-0.0
t39,-0.0,-0.0,-0.0
t40,-0.0,-0.0,-0.0
t41,-0.0,-0.0,-0.0
t42,-0.0,-0.0,-0.0
t43,-3.4584199483056e-13,-0.0,-0.0
t44,-3.3211178905248195e-13,-0.0,-0.0
t45,-3.4080513050934443e-13,-0.0,-0.0
t46,-3.6256927724368205e-13,-0.0,-0.0
t47,-4.007013463177294e-13,-0.0,-0.0
t48,-4.4469205652435464e-13,-0.0,-0.0
t49,-6.606268110001758e-13,-0.0,-0.0
t50,-6.910422188587706e-13,-0.0,-0.0
t51,-7.060190529475488e-13,-0.0,-0.0
t52,-7.106969425991861e-13,-0.0,-0.0
t53,-6.889852233760486e-13,-0.0,-0.0
t54,-6.248639785210263e-13,-0.0,-0.0
t55,-5.288350987083598e-13,-1.8513618368418063e-12,-0.0
t56,-0.0,-0.0,-0.0
t57,-0.0,-0.0,-0.0
t58,-0.0,-0.0,-0.0
t59,-0.0,-0.0,-0.0
t60,-0.0,-0.0,-0.0
t61,-0.0,-0.0,-0.0
t62,-0.0,-0.0,-0.0
t63,-0.0,-0.0,-0.0
t64,-0.0,-0.0,-0.0
t65,-0.0,-0.0,-0.0
t66,-0.0,-0.0,-0.0
t67,-4.569610017557801e-13,-0.0,-0.0
t68,-4.340069753184786e-13,-0.0,-0.0
t69,-4.412796187941459e-13,-0.0,-0.0
t70,-4.759000845029281e-13,-0.0,-0.0
t71,-5.337127039889851e-13,-0.0,-0.0
t72,-5.9647262726804e-13,-0.0,-0.0
t73,-6.189673759608554e-13,-0.0,-0.0
t74,-6.546530130860203e-13,-0.0,-0.0
t75,-6.727866397249619e-13,-0.0,-0.0
t76,-6.803449078453616e-13,-0.0,-0.0
t77,-6.640325445586705e-13,-0.0,-0.0
t78,-0.0,-0.0,-0.0
t79,-0.0,-0.0,-0.0
t80,-0.0,-0.0,-0.0
t81,-0.0,-0.0,-0.0
t82,-0.0,-0.0,-0.0
t83,-0.0,-0.0,-0.0
t84,-0.0,-0.0,-0.0
t85,-0.0,-0.0,-0.0
t86,-0.0,-0.0,-0.0
t87,-0.0,-0.0,-0.0
t88,-0.0,-0.0,-0.0
t89,-0.0,-0.0,-0.0
t90,-0.0,-0.0,-0.0
t91,-4.305196781869665e-13,-0.0,-0.0
t92,-4.3614198241475884e-13,-0.0,-0.0
t93,-4.3347801153521933e-13,-0.0,-0.0
t94,-4.5338217257554526e-13,-0.0,-0.0
t95,-5.030438149122817e-13,-0.0,-0.0
t96,-5.616399907034356e-13,-0.0,-0.0
t97,-1.224589560440551e-12,-0.0,-0.0
t98,-1.3085701412557815e-12,-0.0,-0.0
t99,-1.3661781995364861e-12,-0.0,-0.0
t100,-1.3998066916504847e-12,-0.0,-0.0
t101,-1.393050052616066e-12,-0.0,-0.0
t102,-0.0,-0.0,-0.0
t103,-0.0,-0.0,-0.0
t104,-0.0,-0.0,-0.0
t105,-0.0,-0.0,-7.1970388505265125e-12
t106,-0.0,-0.0,-6.707757301941771e-12
t107,-0.0,-0.0,-6.322042889907172e-12
t108,-0.0,-0.0,-6.050340837125806e-12
t109,-0.0,-0.0,-0.0
t110,-0.0,-0.0,-0.0
t111,-0.0,-0.0,-0.0
t112,-0.0,-0.0,-0.0
t113,-0.0,-0.0,-0.0
t114,-0.0,-0.0,-0.0
t115,-8.316551968144957e-13,-0.0,-0.0
t116,-8.676592098379069e-13,-3.0373905131113646e-12,-0.0
t117,-8.820450631742844e-13,-0.0,-0.0
t118,-9.109292027774184e-13,-0.0,-0.0
t119,-9.935627667303332e-13,-0.0,-0.0
t120,-1.0985065930590208e-12,-0.0,-0.0
t121,-6.96404224986663e-13,-0.0,-0.0
t122,-7.42691164424665e-13,-0.0,-0.0
t123,-7.754294399322331e-13,-0.0,-0.0
t124,-7.913765749423811e-13,-0.0,-0.0
t125,-7.851198358906989e-13,-0.0,-0.0
t126,-7.469258465454337e-13,-2.6150289324805584e-12,-0.0
t127,-0.0,-0.0,-0.0
t128,-0.0,-0.0,-4.461468722411804e-12
t129,-0.0,-0.0,-4.148805146261369e-12
t130,-0.0,-0.0,-3.921545756151573e-12
t131,-0.0,-0.0,-3.738206944288456e-12
t132,-0.0,-0.0,-3.606811269657578e-12
t133,-0.0,-0.0,-3.522212149509807e-12
t134,-0.0,-0.0,-0.0
t135,-0.0,-0.0,-0.0
t136,-0.0,-0.0,-0.0
t137,-0.0,-0.0,-0.0
t138,-0.0,-0.0,-0.0
t139,-4.744478502840383e-13,-0.0,-0.0
t140,-4.893815875622293e-13,-1.7132697209798159e-12,-0.0
t141,-4.875601641715938e-13,-0.0,-0.0
t142,-5.113712419562066e-13,-0.0,-0.0
t143,-5.639745125154748e-13,-0.0,-0.0
t144,-6.27295950396398e-13,-0.0,-0.0
t145,-7.322545012925691e-13,-0.0,-0.0
t146,-7.623292397364774e-13,-0.0,-0.0
t147,-7.752927384468551e-13,-0.0,-0.0
t148,-7.745255016945496e-13,-0.0,-0.0
t149,-7.496724324364466e-13,-0.0,-0.0
t150,-6.738338523187348e-13,-0.0,-0.0
t151,-5.633335072998133e-13,-0.0,-0.0
t152,-0.0,-0.0,-0.0
t153,-0.0,-0.0,-0.0
t154,-0.0,-0.0,-0.0
t155,-0.0,-0.0,-0.0
t156,-0.0,-0.0,-0.0
t157,-0.0,-0.0,-0.0
t158,-0.0,-0.0,-0.0
t159,-0.0,-0.0,-0.0
t160,-0.0,-0.0,-0.0
t161,-0.0,-0.0,-0.0
t162,-4.798638991293283e-13,-0.0,-0.0
t163,-4.493730255401571e-13,-0.0,-0.0
t164,-4.542853939143304e-13,-0.0,-0.0
t165,-4.780564101480044e-13,-0.0,-0.0
t166,-5.182593661702147e-13,-0.0,-0.0
t167,-5.758366789508197e-13,-0.0,-0.0
t168,-6.411725992380599e-13,-0.0,-0.0
