Resource,MA_natural_gas_combined_cycle,MA_solar_pv,CT_natural_gas_combined_cycle,CT_onshore_wind,CT_solar_pv,ME_natural_gas_combined_cycle,ME_onshore_wind,MA_battery,CT_battery,ME_battery
Zone,1,1,2,2,2,3,3,1,2,3
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21021.32850764483,-20934.722096804137,-21518.320475830136
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21199.732038590788,-21092.56532750724,-21713.774496951402
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21349.08706873438,-21265.154186808508,-21894.035806941803
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21531.560322154823,-21488.727224706396,-22117.96876100385
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21780.072608598784,-21881.171783526202,-22321.506080557818
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20891.742847444588,-21176.25222281334,-21540.854192446965
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20996.007421390615,-21230.158496310676,-21679.820201730676
t8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21132.185060191063,-21279.98122331728,-21733.570010248066
t9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21542.857845809405,-21471.050304076754,-21837.045540429444
t10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21817.823793338164,-21738.32755959372,-22094.295077488325
t11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20992.026997713943,-20901.062394278015,-21352.179148686944
t12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21195.717858503103,-21079.749350749626,-21547.871089399763
t13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21365.989823919812,-21279.64695424083,-21739.748991358585
t14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21572.91822631923,-21481.540557388857,-21905.84000728179
t15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21870.180632911386,-21745.90057741484,-22126.084740672475
t16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21097.980744079145,-20931.38802731624,-21365.65670431986
t17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21139.946586363858,-21090.423866467514,-21564.99435677746
t18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21131.36602051266,-21188.802771980965,-21714.018017704566
t19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21275.340245159827,-21383.642922811297,-21906.91166556089
t20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21563.37585723098,-21738.65757076919,-22159.55016498149
t21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20894.100083306308,-20977.824204927045,-21402.71410787491
t22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21236.54865318346,-21223.899982769162,-21679.74063671726
t23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21518.85014134044,-21594.57473826112,-21948.157352046896
t24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21804.443315017983,-21869.473961371397,-22227.45741597539
t25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21053.628731416098,-21273.548880620783,-21849.85650923618
t26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21388.04996665747,-21404.146498574086,-21922.45277291538
t27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21653.334503986196,-21442.80754884438,-21984.809190787037
t28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21762.028858315014,-21487.176859075716,-21949.270285173854
t29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21829.307080786384,-21593.79955880787,-21929.38058381842
t30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21374.73606720651,-21338.26669183347,-21622.854066238837
t31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21381.398320175475,-21432.815865112978,-21826.662919526614
t32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21377.19544244877,-21611.59754633301,-21842.83625391253
t33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21401.304067551344,-21764.412685706055,-21858.57228343362
t34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21468.671735140713,-21831.76296451005,-21939.717351801388
t35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21128.628584371458,-21452.926575005997,-21613.52309146038
t36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21272.467953545005,-21520.16299248865,-21820.761856631696
t37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21376.344229737308,-21576.797855628807,-21915.607994399157
