Time,Weight
1,33.0
2,33.0
3,33.0
4,33.0
5,33.0
6,33.0
7,33.0
8,33.0
9,33.0
10,33.0
11,33.0
12,33.0
13,33.0
14,33.0
15,33.0
16,33.0
17,33.0
18,33.0
19,33.0
20,33.0
21,33.0
22,33.0
23,33.0
24,33.0
25,80.0
26,80.0
27,80.0
28,80.0
29,80.0
30,80.0
31,80.0
32,80.0
33,80.0
34,80.0
35,80.0
36,80.0
37,80.0
38,80.0
39,80.0
40,80.0
41,80.0
42,80.0
43,80.0
44,80.0
45,80.0
46,80.0
47,80.0
48,80.0
49,63.0
50,63.0
51,63.0
52,63.0
53,63.0
54,63.0
55,63.0
56,63.0
57,63.0
58,63.0
59,63.0
60,63.0
61,63.0
62,63.0
63,63.0
64,63.0
65,63.0
66,63.0
67,63.0
68,63.0
69,63.0
70,63.0
71,63.0
72,63.0
73,61.0
74,61.0
75,61.0
76,61.0
77,61.0
78,61.0
79,61.0
80,61.0
81,61.0
82,61.0
83,61.0
84,61.0
85,61.0
86,61.0
87,61.0
88,61.0
89,61.0
90,61.0
91,61.0
92,61.0
93,61.0
94,61.0
95,61.0
96,61.0
97,24.0
98,24.0
99,24.0
100,24.0
101,24.0
102,24.0
103,24.0
104,24.0
105,24.0
106,24.0
107,24.0
108,24.0
109,24.0
110,24.0
111,24.0
112,24.0
113,24.0
114,24.0
115,24.0
116,24.0
117,24.0
118,24.0
119,24.0
120,24.0
121,45.0
122,45.0
123,45.0
124,45.0
125,45.0
126,45.0
127,45.0
128,45.0
129,45.0
130,45.0
131,45.0
132,45.0
133,45.0
134,45.0
135,45.0
136,45.0
137,45.0
138,45.0
139,45.0
140,45.0
141,45.0
142,45.0
143,45.0
144,45.0
145,59.0
146,59.0
147,59.0
148,59.0
149,59.0
150,59.0
151,59.0
152,59.0
153,59.0
154,59.0
155,59.0
156,59.0
157,59.0
158,59.0
159,59.0
160,59.0
161,59.0
162,59.0
163,59.0
164,59.0
165,59.0
166,59.0
167,59.0
168,59.0
