Voll,Demand_Segment,Cost_of_Demand_Curtailment_p_MWh,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_H2_MW_z1,Load_H2_MW_z2,Load_H2_MW_z3
50000000,1,0.025393600812595226,0,7,24,792.0,1,66.5522,390.6496,147.2812
,,,,,,1920.0,2,48.8312,286.68640000000005,107.90120000000002
,,,,,,1512.0,3,68.52120000000001,403.64500000000004,152.0068
,,,,,,1464.0,4,159.489,938.0316,353.2386000000001
,,,,,,576.0,5,342.99980000000005,2019.0126000000002,760.4278
,,,,,,1080.0,6,551.32,3243.7306000000003,1221.5676
,,,,,,1416.0,7,682.0616000000001,4012.0344,1511.0106
,,,,,,,8,781.6930000000001,4598.4026,1731.5386
,,,,,,,9,823.4358000000001,4846.102800000001,1824.8692000000003
,,,,,,,10,787.9938000000001,4637.388800000001,1746.5030000000002
,,,,,,,11,783.662,4611.398,1736.6580000000001
,,,,,,,12,812.4094,4780.732000000001,1800.4536
,,,,,,,13,863.6034000000001,5080.4138,1913.0804
,,,,,,,14,896.6826000000001,5275.738600000001,1986.7210000000002
,,,,,,,15,969.5356000000002,5705.7681999999995,2148.5728000000004
,,,,,,,16,1029.3932,6057.4316,2281.2834000000003
,,,,,,,17,1000.6458000000001,5888.097600000001,2217.4878000000003
,,,,,,,18,940.7882000000001,5536.434200000001,2084.7772
,,,,,,,19,774.9984000000001,4559.4164,1716.968
,,,,,,,20,569.041,3347.6938000000005,1260.9476000000002
,,,,,,,21,411.91480000000007,2423.0514000000003,912.4346000000002
,,,,,,,22,309.92060000000004,1823.6878000000002,686.7872000000001
,,,,,,,23,183.90460000000002,1081.3748,407.1892
,,,,,,,24,103.96320000000001,612.359,230.373
,,,,,,,25,69.3088,407.9768,153.582
,,,,,,,26,50.800200000000004,299.288,112.6268
,,,,,,,27,71.67160000000001,421.75980000000004,158.7014
,,,,,,,28,166.57740000000004,979.3806000000001,368.5968
,,,,,,,29,358.358,2108.4052,793.9008
,,,,,,,30,575.7356,3386.6800000000003,1275.5182000000002
,,,,,,,31,711.9904,4189.2444000000005,1577.5628000000002
,,,,,,,32,815.9536,4801.2096,1807.9358
,,,,,,,33,860.0592,5059.5424,1905.5982000000001
,,,,,,,34,823.042,4842.1648000000005,1823.294
,,,,,,,35,818.3164,4814.9926000000005,1813.0552
,,,,,,,36,848.2452000000001,4991.808800000001,1880.0012000000002
,,,,,,,37,901.4082000000001,5304.486,1997.7474
,,,,,,,38,936.0626000000001,5508.4744,2074.5384
,,,,,,,39,1012.4598000000001,5957.406400000001,2243.4786
,,,,,,,40,1075.074,6324.821800000001,2381.7024
,,,,,,,41,1044.7514,6148.0056,2315.1502
,,,,,,,42,982.5310000000001,5780.5902,2176.9264000000003
,,,,,,,43,808.8652000000001,4760.6482000000005,1792.5776000000003
,,,,,,,44,594.2442,3495.3688000000006,1316.4734
,,,,,,,45,430.0296,2529.7712,952.6022000000002
,,,,,,,46,323.70360000000005,1904.0230000000001,717.1098000000001
,,,,,,,47,191.78060000000002,1129.0246000000002,425.30400000000003
,,,,,,,48,108.6888,639.1374000000001,240.61180000000002
,,,,,,,49,98.05620000000002,577.7046,217.77140000000003
,,,,,,,50,70.884,417.428,157.1262
,,,,,,,51,65.3708,385.1364,144.91840000000002
,,,,,,,52,96.87480000000001,569.8286,214.621
,,,,,,,53,174.4534,1027.4242000000002,386.71160000000003
,,,,,,,54,286.2926,1685.464,634.8056
,,,,,,,55,432.39240000000007,2544.3418,958.1154
,,,,,,,56,590.7,3475.2850000000003,1308.5973999999999
,,,,,,,57,746.251,4390.0824,1653.1724
,,,,,,,58,827.7676,4871.6998,1834.7142000000003
,,,,,,,59,853.7584,5024.1004,1892.209
,,,,,,,60,890.7756,5240.6904,1973.7256
,,,,,,,61,947.8766,5577.7832,2100.5292000000004
,,,,,,,62,990.407,5826.6648000000005,2194.2536
,,,,,,,63,1036.4816,6099.5682,2297.0354
,,,,,,,64,1062.4724,6251.9688,2354.5302
,,,,,,,65,1010.8846000000001,5947.167600000001,2239.5406000000003
,,,,,,,66,915.1912,5385.215,2028.0700000000002
,,,,,,,67,759.6402,4470.4176,1683.4950000000001
,,,,,,,68,587.9434,3459.1392000000005,1302.6904
,,,,,,,69,448.932,2640.429,994.345
,,,,,,,70,347.72540000000004,2046.5786,770.6666
,,,,,,,71,244.15600000000003,1436.5824,541.0812000000001
,,,,,,,72,155.55100000000002,914.7974,344.57500000000005
,,,,,,,73,98.05620000000002,577.7046,217.77140000000003
,,,,,,,74,70.884,417.428,157.1262
,,,,,,,75,65.3708,385.1364,144.91840000000002
,,,,,,,76,96.87480000000001,569.8286,214.621
,,,,,,,77,174.4534,1027.4242000000002,386.71160000000003
,,,,,,,78,286.2926,1685.464,634.8056
,,,,,,,79,432.39240000000007,2544.3418,958.1154
,,,,,,,80,590.7,3475.2850000000003,1308.5973999999999
,,,,,,,81,746.251,4390.0824,1653.1724
,,,,,,,82,827.7676,4871.6998,1834.7142000000003
,,,,,,,83,853.7584,5024.1004,1892.209
,,,,,,,84,890.7756,5240.6904,1973.7256
,,,,,,,85,947.8766,5577.7832,2100.5292000000004
,,,,,,,86,990.407,5826.6648000000005,2194.2536
,,,,,,,87,1036.4816,6099.5682,2297.0354
,,,,,,,88,1062.4724,6251.9688,2354.5302
,,,,,,,89,1010.8846000000001,5947.167600000001,2239.5406000000003
,,,,,,,90,915.1912,5385.215,2028.0700000000002
,,,,,,,91,759.6402,4470.4176,1683.4950000000001
,,,,,,,92,587.9434,3459.1392000000005,1302.6904
,,,,,,,93,448.932,2640.429,994.345
,,,,,,,94,347.72540000000004,2046.5786,770.6666
,,,,,,,95,244.15600000000003,1436.5824,541.0812000000001
,,,,,,,96,155.55100000000002,914.7974,344.57500000000005
,,,,,,,97,73.24680000000001,431.211,162.24560000000002
,,,,,,,98,53.55680000000001,316.2214,118.92760000000001
,,,,,,,99,75.6096,445.3878,167.7588
,,,,,,,100,175.6348,1034.5126,389.4682
,,,,,,,101,378.4418,2226.939,838.7940000000001
,,,,,,,102,608.0272,3577.6730000000002,1347.1898
,,,,,,,103,752.1580000000001,4425.1306,1666.5616000000002
,,,,,,,104,862.0282000000001,5071.7502,1909.93
