Voll,Demand_Segment,Cost_of_Demand_Curtailment_p_MWh,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_liqH2_MW_z1,Load_liqH2_MW_z2,Load_liqH2_MW_z3
50000000,1,0.025393600812595226,0,7,24,792.0,1,33.2761,195.3248,73.6406
,,,,,,1920.0,2,24.4156,143.34320000000002,53.95060000000001
,,,,,,1512.0,3,34.260600000000004,201.82250000000002,76.0034
,,,,,,1464.0,4,79.7445,469.0158,176.61930000000004
,,,,,,576.0,5,171.49990000000003,1009.5063000000001,380.2139
,,,,,,1080.0,6,275.66,1621.8653000000002,610.7838
,,,,,,1416.0,7,341.03080000000006,2006.0172,755.5053
,,,,,,,8,390.84650000000005,2299.2013,865.7693
,,,,,,,9,411.71790000000004,2423.0514000000003,912.4346000000002
,,,,,,,10,393.99690000000004,2318.6944000000003,873.2515000000001
,,,,,,,11,391.831,2305.699,868.3290000000001
,,,,,,,12,406.2047,2390.3660000000004,900.2268
,,,,,,,13,431.80170000000004,2540.2069,956.5402
,,,,,,,14,448.34130000000005,2637.8693000000003,993.3605000000001
,,,,,,,15,484.7678000000001,2852.8840999999998,1074.2864000000002
,,,,,,,16,514.6966,3028.7158,1140.6417000000001
,,,,,,,17,500.32290000000006,2944.0488000000005,1108.7439000000002
,,,,,,,18,470.39410000000004,2768.2171000000003,1042.3886
,,,,,,,19,387.49920000000003,2279.7082,858.484
,,,,,,,20,284.5205,1673.8469000000002,630.4738000000001
,,,,,,,21,205.95740000000004,1211.5257000000001,456.2173000000001
,,,,,,,22,154.96030000000002,911.8439000000001,343.39360000000005
,,,,,,,23,91.95230000000001,540.6874,203.5946
,,,,,,,24,51.98160000000001,306.1795,115.1865
,,,,,,,25,34.6544,203.9884,76.791
,,,,,,,26,25.400100000000002,149.644,56.3134
,,,,,,,27,35.835800000000006,210.87990000000002,79.3507
,,,,,,,28,83.28870000000002,489.69030000000004,184.2984
,,,,,,,29,179.179,1054.2026,396.9504
,,,,,,,30,287.8678,1693.3400000000001,637.7591000000001
,,,,,,,31,355.9952,2094.6222000000002,788.7814000000001
,,,,,,,32,407.9768,2400.6048,903.9679
,,,,,,,33,430.0296,2529.7712,952.7991000000001
,,,,,,,34,411.521,2421.0824000000002,911.647
,,,,,,,35,409.1582,2407.4963000000002,906.5276
,,,,,,,36,424.12260000000003,2495.9044000000004,940.0006000000001
,,,,,,,37,450.70410000000004,2652.243,998.8737
,,,,,,,38,468.03130000000004,2754.2372,1037.2692
,,,,,,,39,506.22990000000004,2978.7032000000004,1121.7393
,,,,,,,40,537.537,3162.4109000000003,1190.8512
,,,,,,,41,522.3757,3074.0028,1157.5751
,,,,,,,42,491.26550000000003,2890.2951,1088.4632000000001
,,,,,,,43,404.43260000000004,2380.3241000000003,896.2888000000002
,,,,,,,44,297.1221,1747.6844000000003,658.2367
,,,,,,,45,215.0148,1264.8856,476.3011000000001
,,,,,,,46,161.85180000000003,952.0115000000001,358.55490000000003
,,,,,,,47,95.89030000000001,564.5123000000001,212.65200000000002
,,,,,,,48,54.3444,319.56870000000004,120.30590000000001
,,,,,,,49,49.02810000000001,288.8523,108.88570000000001
,,,,,,,50,35.442,208.714,78.5631
,,,,,,,51,32.6854,192.5682,72.45920000000001
,,,,,,,52,48.437400000000004,284.9143,107.3105
,,,,,,,53,87.2267,513.7121000000001,193.35580000000002
,,,,,,,54,143.1463,842.732,317.4028
,,,,,,,55,216.19620000000003,1272.1709,479.0577
,,,,,,,56,295.35,1737.6425000000002,654.2986999999999
,,,,,,,57,373.1255,2195.0412,826.5862
,,,,,,,58,413.8838,2435.8499,917.3571000000002
,,,,,,,59,426.8792,2512.0502,946.1045
,,,,,,,60,445.3878,2620.3452,986.8628
,,,,,,,61,473.9383,2788.8916,1050.2646000000002
,,,,,,,62,495.2035,2913.3324000000002,1097.1268
,,,,,,,63,518.2408,3049.7841,1148.5177
,,,,,,,64,531.2362,3125.9844,1177.2651
,,,,,,,65,505.44230000000005,2973.5838000000003,1119.7703000000001
,,,,,,,66,457.5956,2692.6075,1014.0350000000001
,,,,,,,67,379.8201,2235.2088,841.7475000000001
,,,,,,,68,293.9717,1729.5696000000003,651.3452
,,,,,,,69,224.466,1320.2145,497.1725
,,,,,,,70,173.86270000000002,1023.2893,385.3333
,,,,,,,71,122.07800000000002,718.2912,270.54060000000004
,,,,,,,72,77.77550000000001,457.3987,172.28750000000002
,,,,,,,73,49.02810000000001,288.8523,108.88570000000001
,,,,,,,74,35.442,208.714,78.5631
,,,,,,,75,32.6854,192.5682,72.45920000000001
,,,,,,,76,48.437400000000004,284.9143,107.3105
,,,,,,,77,87.2267,513.7121000000001,193.35580000000002
,,,,,,,78,143.1463,842.732,317.4028
,,,,,,,79,216.19620000000003,1272.1709,479.0577
,,,,,,,80,295.35,1737.6425000000002,654.2986999999999
,,,,,,,81,373.1255,2195.0412,826.5862
,,,,,,,82,413.8838,2435.8499,917.3571000000002
,,,,,,,83,426.8792,2512.0502,946.1045
,,,,,,,84,445.3878,2620.3452,986.8628
,,,,,,,85,473.9383,2788.8916,1050.2646000000002
,,,,,,,86,495.2035,2913.3324000000002,1097.1268
,,,,,,,87,518.2408,3049.7841,1148.5177
,,,,,,,88,531.2362,3125.9844,1177.2651
,,,,,,,89,505.44230000000005,2973.5838000000003,1119.7703000000001
,,,,,,,90,457.5956,2692.6075,1014.0350000000001
,,,,,,,91,379.8201,2235.2088,841.7475000000001
,,,,,,,92,293.9717,1729.5696000000003,651.3452
,,,,,,,93,224.466,1320.2145,497.1725
,,,,,,,94,173.86270000000002,1023.2893,385.3333
,,,,,,,95,122.07800000000002,718.2912,270.54060000000004
,,,,,,,96,77.77550000000001,457.3987,172.28750000000002
,,,,,,,97,36.623400000000004,215.6055,81.12280000000001
,,,,,,,98,26.778400000000005,158.1107,59.463800000000006
,,,,,,,99,37.8048,222.6939,83.8794
,,,,,,,100,87.8174,517.2563,194.7341
,,,,,,,101,189.2209,1113.4695,419.39700000000005
,,,,,,,102,304.0136,1788.8365000000001,673.5949
,,,,,,,103,376.07900000000006,2212.5653,833.2808000000001
,,,,,,,104,431.01410000000004,2535.8751,954.965
,,,,,,,105,454.24830000000003,2672.3268000000003,1006.3559
,,,,,,,106,434.55830000000003,2557.5341,963.0379
,,,,,,,107,432.19550000000004,2543.1604,957.7216000000001
,,,,,,,108,448.1444000000001,2636.4910000000004,992.7698000000001
,,,,,,,109,476.10420000000005,2801.6901,1054.9902
,,,,,,,110,494.4159,2909.3944,1095.7485000000001
,,,,,,,111,534.7804,3146.4620000000004,1184.9442000000001
,,,,,,,112,567.6627,3340.4085000000005,1257.9941000000001
,,,,,,,113,551.9107,3247.0779,1222.749
,,,,,,,114,518.8315,3053.1314,1149.6991
,,,,,,,115,427.273,2514.413,946.8921000000001
,,,,,,,116,313.8586,1846.3313,695.2539
,,,,,,,117,227.0257,1336.1634000000001,503.2764
,,,,,,,118,170.9092,1005.7652,378.8356
,,,,,,,119,101.40350000000001,596.2132,224.466
,,,,,,,120,57.297900000000006,337.6835,127.1974
,,,,,,,121,49.02810000000001,288.8523,108.88570000000001
,,,,,,,122,35.442,208.714,78.5631
