Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_Tonne,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_H2_tonne_per_hr_z1,Load_H2_tonne_per_hr_z2,Load_H2_tonne_per_hr_z3,Load_H2_tonne_per_hr_z4,Load_H2_tonne_per_hr_z5,Load_H2_tonne_per_hr_z6,Load_H2_tonne_per_hr_z7
50000000,1,1,0,1,168,1,1,1.62,9.51,3.58,7.38,2.52,5.36,0
,,,,,,,2,1.22,7.17,2.7,5.57,1.9,4.04,0
,,,,,,,3,1.75,10.29,3.88,7.98,2.73,5.8,0
,,,,,,,4,4,23.55,8.87,18.27,6.24,13.28,0
,,,,,,,5,8.24,48.5,18.27,37.63,12.84,27.34,0
,,,,,,,6,13.41,78.92,29.72,61.22,20.9,44.49,0
,,,,,,,7,16.79,98.8,37.21,76.64,26.16,55.69,0
,,,,,,,8,19.24,113.23,42.64,87.83,29.98,63.83,0
,,,,,,,9,20.24,119.08,44.84,92.37,31.53,67.12,0
,,,,,,,10,21.43,126.1,47.49,97.82,33.39,71.08,0
,,,,,,,11,25.41,149.49,56.3,115.96,39.58,84.27,0
,,,,,,,12,27.06,159.24,59.97,123.52,42.16,89.76,0
,,,,,,,13,27.86,163.92,61.73,127.15,43.4,92.4,0
,,,,,,,14,27.33,160.8,60.55,124.73,42.58,90.64,0
,,,,,,,15,27.06,159.24,59.97,123.52,42.16,89.76,0
,,,,,,,16,25.94,152.61,57.47,118.38,40.41,86.03,0
,,,,,,,17,24.61,144.81,54.53,112.33,38.34,81.63,0
,,,,,,,18,21.76,128.04,48.22,99.33,33.9,72.18,0
,,,,,,,19,18.12,106.6,40.14,82.69,28.23,60.09,0
,,,,,,,20,13.81,81.26,30.6,63.03,21.52,45.8,0
,,,,,,,21,10.5,61.76,23.26,47.91,16.35,34.81,0
,,,,,,,22,7.32,43.05,16.21,33.39,11.4,24.26,0
,,,,,,,23,4.53,26.67,10.04,20.69,7.06,15.03,0
,,,,,,,24,2.68,15.75,5.93,12.22,4.17,8.88,0
