Resource,Zone,StartCap,RetCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
MA_natural_gas_combined_cycle,1,0.0,0.0,11162.372742868203,11162.372742868203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MA_solar_pv,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT_natural_gas_combined_cycle,2,0.0,0.0,3222.78803088558,3222.78803088558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT_onshore_wind,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT_solar_pv,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ME_natural_gas_combined_cycle,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ME_onshore_wind,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MA_battery,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT_battery,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ME_battery,3,0.0,0.0,863.786387603489,863.786387603489,0.0,0.0,938.8982473950966,938.8982473950966,0.0,0.0,0.0,0.0
MB_natural_gas_combined_cycle,4,0.0,0.0,9006.544667704537,9006.544667704537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MC_natural_gas_combined_cycle,5,0.0,0.0,5761.162194758102,5761.162194758102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MD_natural_gas_combined_cycle,6,0.0,0.0,6576.798308714582,6576.798308714582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MF_natural_gas_combined_cycle,7,0.0,0.0,7079.588623293759,7079.588623293759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MH_natural_gas_combined_cycle,8,0.0,0.0,6385.3714659164025,6385.3714659164025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MG_natural_gas_combined_cycle,9,0.0,0.0,6679.859619489012,6679.859619489012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MJ_natural_gas_combined_cycle,10,0.0,0.0,7064.468348405683,7064.468348405683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MB_battery,4,0.0,0.0,645.3686490842437,645.3686490842437,0.0,0.0,701.4876620480909,701.4876620480909,0.0,0.0,0.0,0.0
MC_battery,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MD_battery,6,0.0,0.0,1613.087770755124,1613.087770755124,0.0,0.0,1753.3562725599172,1753.3562725599172,0.0,0.0,0.0,0.0
MF_battery,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MH_battery,8,0.0,0.0,2366.4231640102416,2366.4231640102416,0.0,0.0,2572.19909131548,2572.19909131548,0.0,0.0,0.0,0.0
MG_battery,9,0.0,0.0,1330.1299504035983,1330.1299504035983,0.0,0.0,1445.7934243517373,1445.7934243517373,0.0,0.0,0.0,0.0
MJ_battery,10,0.0,0.0,642.0331202882305,642.0331202882305,0.0,0.0,697.8620872698158,697.8620872698158,0.0,0.0,0.0,0.0
Total,n/a,0.0,0.0,70399.78304418079,70399.78304418079,0.0,0.0,8109.596784940139,8109.596784940139,0.0,0.0,0.0,0.0
