Resource,MA_natural_gas_combined_cycle,MA_solar_pv,CT_natural_gas_combined_cycle,CT_onshore_wind,CT_solar_pv,ME_natural_gas_combined_cycle,ME_onshore_wind,MA_battery,CT_battery,ME_battery,MB_natural_gas_combined_cycle,MC_natural_gas_combined_cycle,MD_natural_gas_combined_cycle,MF_natural_gas_combined_cycle,MH_natural_gas_combined_cycle,MG_natural_gas_combined_cycle,MJ_natural_gas_combined_cycle,MB_battery,MC_battery,MD_battery,MF_battery,MH_battery,MG_battery,MJ_battery,Total
Zone,1,1,2,2,2,3,3,1,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,0
AnnualSum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t1,11152.670968444518,0.0,3220.4459795963694,0.0,0.0,0.0,0.0,0.0,0.0,863.786387603489,9002.32960480005,5755.4010325633435,6570.221510405868,7072.509034670466,6378.986094450486,6673.179759869523,7057.698110980255,645.3686490842437,0.0,1612.092550220402,0.0,2366.4231640102416,1330.1299504035983,642.0331202882305,70343.27591739107
t2,11152.56720407973,0.0,3220.559490123541,0.0,0.0,0.0,0.0,0.0,0.0,863.786387603489,8997.538123036831,5755.4010325633435,6570.221510405868,7072.509034670466,6378.986094450486,6673.179759869523,7057.403880057277,645.3686490842437,0.0,1612.4699035190908,0.0,2364.2631244168983,1330.1299504035983,642.0331202882305,70336.41726457264
t3,11155.384241151265,0.0,3220.6162453871266,0.0,0.0,0.0,0.0,0.0,0.0,863.786387603489,9002.32960480005,5758.465970850954,6573.720367106103,7075.779502873721,6378.986094450486,6675.956547032378,7059.986223085569,645.3686490842437,0.0,1613.087770755124,0.0,2366.4231640102416,1330.1299504035983,642.0331202882305,70362.05383888258
t4,11155.444141419586,0.0,3220.647861761522,0.0,0.0,0.0,0.0,0.0,0.0,863.786387603489,9001.391186209237,5757.732776605364,6570.394731173373,7072.509034670466,6381.013774339512,6674.118249975039,7057.861026474261,645.3686490842437,0.0,1613.087770755124,0.0,2366.4231640102416,1330.1299504035983,642.0331202882305,70351.94182477328
t5,11155.293055838058,0.0,3220.6536187787333,0.0,0.0,0.0,0.0,0.0,0.0,863.786387603489,9000.11373497422,5757.459818907596,6573.433208481499,7074.9942944844115,6378.986094450486,6676.733445187091,7061.162177218629,645.3686490842437,0.0,1613.087770755124,0.0,2366.4231640102416,1330.1299504035983,642.0331202882305,70359.65849046565
t6,11151.210370125335,0.0,3219.649600875945,0.0,0.0,0.0,0.0,0.0,0.0,863.786387603489,8997.538123036831,5755.4010325633435,6570.221510405868,7073.123253765399,6378.986094450486,6673.179759869523,7057.403880057277,645.3686490842437,0.0,1613.087770755124,0.0,2366.4231640102416,1330.1299504035983,641.7661628380109,70337.2757098447
t7,11153.206163372648,0.0,3220.2494590879223,0.0,0.0,0.0,0.0,0.0,0.0,863.786387603489,8998.48512091179,5756.695332055365,6573.720367106103,7076.275375818058,6379.721922480933,6673.179759869523,7061.162177218629,645.3686490842437,0.0,1613.087770755124,0.0,2366.4231640102416,1330.1299504035983,642.0331202882305,70353.5247200659
t8,11152.51652152466,0.0,3219.9394071850006,0.0,0.0,0.0,0.0,0.0,0.0,863.786387603489,8999.967151713008,5757.3905165328215,6572.2651311671325,7076.275375818058,6382.3831120703535,6676.733445187091,7058.707050683758,645.3686490842437,0.0,1613.087770755124,0.0,2366.4231640102416,1330.1299504035983,642.0331202882305,70357.00675402682
t9,11153.440235949123,0.0,3219.773345487842,0.0,0.0,0.0,0.0,0.0,0.0,863.786387603489,9002.32960480005,5758.465970850954,6573.720367106103,7076.275375818058,6379.183180401967,6673.179759869523,7061.162177218629,645.3686490842437,0.0,1613.087770755124,0.0,2366.4231640102416,1330.1299504035983,642.0331202882305,70358.35905964718
t10,11152.694908308835,0.0,3219.6566818904716,0.0,0.0,0.0,0.0,0.0,0.0,863.786387603489,8999.38202705367,5758.465970850954,6573.720367106103,7076.275375818058,6379.866412783391,6674.742093678882,7059.148221845523,645.3686490842437,0.0,1613.087770755124,0.0,2366.4231640102416,1330.1299504035983,642.0331202882305,70354.78110148082
t11,11151.210370125335,0.0,3219.5652428546946,0.0,0.0,0.0,0.0,0.0,0.0,863.786387603489,8998.749755251163,5756.191511746847,6573.720367106103,7076.275375818058,6381.504011443796,6674.156749075905,7061.162177218629,645.3686490842437,0.0,1613.087770755124,0.0,2366.4231640102416,1330.1299504035983,642.0331202882305,70353.36460278547
t12,11151.210370125335,0.0,3219.5652428546946,0.0,0.0,0.0,0.0,0.0,0.0,863.786387603489,8999.458195614288,5756.409620389567,6570.281893421471,7076.275375818058,6382.3831120703535,6673.995409622284,7061.162177218629,645.3686490842437,0.0,1613.087770755124,0.0,2366.4231640102416,1330.1299504035983,642.0331202882305,70351.57043927962
t13,11151.210370125335,0.0,3219.5652428546946,0.0,0.0,0.0,0.0,0.0,0.0,863.786387603489,8998.485403366229,5755.4010325633435,6572.960649661512,7072.509034670466,6382.3831120703535,6673.2371812862375,7060.71229886657,645.3686490842437,0.0,1613.087770755124,0.0,2366.4231640102416,1330.1299504035983,642.0331202882305,70347.29336760967
t14,11151.210370125335,0.0,3219.5652428546946,0.0,0.0,0.0,0.0,0.0,0.0,863.786387603489,8997.538123036831,5755.4010325633435,6570.221510405868,7075.2257754492975,6382.3831120703535,6675.800132532772,7058.029899258869,645.3686490842437,0.0,1613.087770755124,0.0,2366.4231640102416,1330.1299504035983,642.0331202882305,70346.2042404423
t15,11151.210370125335,0.0,3219.5652428546946,0.0,0.0,0.0,0.0,0.0,0.0,863.786387603489,8997.538123036831,5755.4010325633435,6570.221510405868,7072.509034670466,6378.986094450486,6673.179759869523,7057.403880057277,645.3686490842437,0.0,1613.087770755124,0.0,2364.9145998568342,1329.9774971570178,641.8948298510423,70335.04478234156
t16,11151.210370125335,0.0,3219.5652428546946,0.0,0.0,0.0,0.0,0.0,0.0,863.786387603489,9002.32960480005,5756.851712324535,6573.720367106103,7076.275375818058,6382.3831120703535,6673.179759869523,7057.403880057277,645.3686490842437,0.0,1613.087770755124,0.0,2366.4231640102416,1329.9105481648073,642.0331202882305,70353.52906493207
t17,11151.210370125335,0.0,3219.5652428546946,0.0,0.0,0.0,0.0,0.0,0.0,863.786387603489,8998.636113910885,5755.854895671156,6570.221510405868,7075.423504286019,6382.3831120703535,6673.179759869523,7057.403880057277,645.3686490842437,0.0,1613.087770755124,0.0,2366.4231640102416,1330.1299504035983,642.0331202882305,70344.70743139605
t18,11151.210370125335,0.0,3219.5652428546946,0.0,0.0,0.0,0.0,0.0,0.0,863.786387603489,8997.538123036831,5755.4010325633435,6570.221510405868,7072.509034670466,6381.451744865793,6673.179759869523,7060.95115370138,645.3686490842437,0.0,1613.087770755124,0.0,2366.4231640102416,1330.022759593095,642.0331202882305,70342.74982342766
t19,11151.210370125335,0.0,3219.5652428546946,0.0,0.0,0.0,0.0,0.0,0.0,863.786387603489,9002.32960480005,5755.4010325633435,6570.221510405868,7076.275375818058,6382.1194701889235,6673.179759869523,7057.403880057277,645.3686490842437,0.0,1613.087770755124,0.0,2366.4231640102416,1330.1299504035983,642.0331202882305,70348.535288828
t20,11151.450611909411,0.0,3219.62671727921,0.0,0.0,0.0,0.0,0.0,0.0,863.786387603489,9002.32960480005,5755.4010325633435,6573.720367106103,7075.5473756917945,6378.986094450486,6675.993236759618,7061.162177218629,645.3686490842437,0.0,1613.087770755124,0.0,2366.4231640102416,1330.1299504035983,642.0331202882305,70355.04625992358
t21,11151.391447814394,0.0,3219.5730029516135,0.0,0.0,0.0,0.0,0.0,0.0,863.786387603489,9002.32960480005,5757.405628839105,6570.221510405868,7072.509034670466,6378.986094450486,6675.911715448125,7059.227356768064,645.3686490842437,0.0,1611.7224532659568,0.0,2364.662165285728,1330.1299504035983,642.0331202882305,70345.25812207942
t22,11151.794931755538,0.0,3219.6522465489843,0.0,0.0,0.0,0.0,0.0,0.0,863.786387603489,9002.32960480005,5757.582666096136,6572.743893351135,7076.275375818058,6379.717345388428,6675.66691813393,7061.162177218629,645.3686490842437,0.0,1613.087770755124,0.0,2366.4231640102416,1330.1299504035983,642.0331202882305,70357.75420125581
t23,11152.895752811195,0.0,3219.927593568905,0.0,0.0,0.0,0.0,0.0,0.0,863.786387603489,9002.32960480005,5755.446898861754,6570.221510405868,7072.509034670466,6382.3831120703535,6673.369950749031,7059.954465766325,645.3686490842437,0.0,1613.087770755124,0.0,2366.4231640102416,1330.1299504035983,642.0331202882305,70349.86696584888
t24,11153.956092648667,0.0,3220.208448308029,0.0,0.0,0.0,0.0,0.0,0.0,863.786387603489,9000.02277281482,5757.693179644524,6572.561895429649,7073.0423588697695,6382.3831120703535,6676.733445187091,7061.162177218629,645.3686490842437,0.0,1613.087770755124,0.0,2366.4231640102416,1330.1299504035983,642.0331202882305,70358.59252433646
t25,11151.210370125335,0.0,3220.2697289444372,0.0,0.0,0.0,0.0,0.0,0.0,863.786387603489,8997.538123036831,5755.4010325633435,6570.221510405868,7072.509034670466,6378.986094450486,6673.179759869523,7061.162177218629,645.3686490842437,0.0,1613.087770755124,0.0,2366.0013376274533,1330.1299504035983,642.0331202882305,70340.88504704706
t26,11153.291911660768,0.0,3220.52375532795,0.0,0.0,0.0,0.0,0.0,0.0,863.786387603489,8998.417377983003,5758.465970850954,6573.720367106103,7074.0520383784815,6382.3831120703535,6673.179759869523,7059.312461960251,645.3686490842437,0.0,1613.087770755124,0.0,2366.4231640102416,1330.1299504035983,642.0331202882305,70354.17579735232
t27,11155.259186205121,0.0,3220.5805105915356,0.0,0.0,0.0,0.0,0.0,0.0,863.786387603489,8997.855496714761,5756.351086880855,6573.720367106103,7076.275375818058,6382.3831120703535,6673.179759869523,7061.162177218629,645.3686490842437,0.0,1613.087770755124,0.0,2366.4231640102416,1330.1299504035983,642.0331202882305,70357.59611461987
t28,11153.318348500648,0.0,3220.60258208293,0.0,0.0,0.0,0.0,0.0,0.0,863.786387603489,8997.538123036831,5755.4010325633435,6570.221510405868,7072.509034670466,6378.986094450486,6673.179759869523,7058.770767243306,645.3686490842437,0.0,1613.087770755124,0.0,2366.078912555259,1329.786993584418,642.0331202882305,70340.66908669416
t29,11151.975892058577,0.0,3220.574115006542,0.0,0.0,0.0,0.0,0.0,0.0,863.786387603489,8997.538123036831,5755.4010325633435,6570.221510405868,7074.779717691317,6378.986094450486,6673.179759869523,7057.403880057277,645.3686490842437,0.0,1613.087770755124,0.0,2365.685898582685,1330.1299504035983,642.0331202882305,70340.15190185714
t30,11154.682655217746,0.0,3220.468799917777,0.0,0.0,0.0,0.0,0.0,0.0,863.786387603489,9000.80764475775,5755.4010325633435,6573.720367106103,7074.803863233818,6378.986094450486,6673.880972853936,7057.403880057277,645.3686490842437,0.0,1613.087770755124,0.0,2366.415292067391,1330.1299504035983,642.0331202882305,70350.97648036033
t31,11151.268766032188,0.0,3220.166633219264,0.0,0.0,0.0,0.0,0.0,0.0,863.786387603489,9001.049215203393,5755.4010325633435,6571.289174352249,7076.275375818058,6382.3831120703535,6673.179759869523,7057.403880057277,645.3686490842437,0.0,1613.087770755124,0.0,2366.4231640102416,1330.1299504035983,642.0331202882305,70349.24599133058
t32,11152.41875237585,0.0,3219.9091164333404,0.0,0.0,0.0,0.0,0.0,0.0,863.786387603489,9002.32960480005,5757.038297568289,6570.613913481072,7072.933666544468,6378.986094450486,6676.733445187091,7059.382558677838,645.3686490842437,0.0,1613.087770755124,0.0,2365.3508259772766,1330.1299504035983,642.0331202882305,70350.10215363046
t33,11151.85761857313,0.0,3219.7512739964477,0.0,0.0,0.0,0.0,0.0,0.0,863.786387603489,8999.060740610343,5756.871024341305,6573.720367106103,7076.275375818058,6379.485751795204,6676.733445187091,7061.162177218629,645.3686490842437,0.0,1613.087770755124,0.0,2366.4231640102416,1330.1299504035983,642.0331202882305,70355.74681679124
t34,11151.210370125335,0.0,3219.5652428546946,0.0,0.0,0.0,0.0,0.0,0.0,863.786387603489,8997.538123036831,5755.578838387067,6570.221510405868,7072.509034670466,6378.986094450486,6673.179759869523,7057.403880057277,645.3686490842437,0.0,1613.087770755124,0.0,2366.4231640102416,1330.1299504035983,642.0331202882305,70337.02189600248
t35,11151.93743709143,0.0,3219.5652428546946,0.0,0.0,0.0,0.0,0.0,0.0,863.786387603489,9002.32960480005,5758.465970850954,6570.592927241949,7076.275375818058,6382.3831120703535,6676.164868139403,7061.162177218629,645.3686490842437,0.0,1613.087770755124,0.0,2366.4231640102416,1330.1299504035983,642.0331202882305,70359.70575823046
t36,11151.210370125335,0.0,3219.5652428546946,0.0,0.0,0.0,0.0,0.0,0.0,863.786387603489,9001.947116492442,5758.465970850954,6573.720367106103,7076.275375818058,6379.830879041553,6673.179759869523,7060.433135098134,645.3686490842437,0.0,1613.087770755124,0.0,2364.8753782538333,1330.1299504035983,642.0331202882305,70353.90947364533
t37,11151.210370125335,0.0,3219.5652428546946,0.0,0.0,0.0,0.0,0.0,0.0,863.786387603489,9001.805350391054,5757.672940415233,6573.720367106103,7076.275375818058,6382.3831120703535,6673.179759869523,7061.162177218629,645.3686490842437,0.0,1613.087770755124,0.0,2366.4231640102416,1330.1299504035983,642.0331202882305,70357.80373801391
