Resource,MA_natural_gas_combined_cycle,MA_solar_pv,CT_natural_gas_combined_cycle,CT_onshore_wind,CT_solar_pv,ME_natural_gas_combined_cycle,ME_onshore_wind,MA_battery,CT_battery,ME_battery,MB_natural_gas_combined_cycle,MC_natural_gas_combined_cycle,MD_natural_gas_combined_cycle,MF_natural_gas_combined_cycle,MH_natural_gas_combined_cycle,MG_natural_gas_combined_cycle,MJ_natural_gas_combined_cycle,MB_battery,MC_battery,MD_battery,MF_battery,MH_battery,MG_battery,MJ_battery
Zone,1,1,2,2,2,3,3,1,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-22.966632437861822,-23.131066514863292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.684049308103454,-22.67819022242807,-85.87335319416805,-87.58058399660158,-89.32170145358165,-22.684049308103454,-20.75756223405434
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-22.966632437861822,-23.131066514863292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.684049308103454,-22.67819022242807,-85.87335319416805,-87.58058399660158,-89.32170145358165,-22.684049308103454,-20.75756223405434
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-22.966632437861822,-23.131066514863292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.684049308103454,-22.67819022242807,-23.131066514863285,-22.67819022242807,-23.13106651486329,-22.684049308103454,-20.75756223405434
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-22.966632437861822,-23.131066514863292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.684049308103454,-22.67819022242807,-23.131066514863285,-22.67819022242807,-23.13106651486329,-22.684049308103454,-20.75756223405434
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-22.966632437861822,-23.131066514863292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.684049308103454,-22.67819022242807,-23.131066514863285,-22.67819022242807,-23.13106651486329,-22.684049308103454,-20.75756223405434
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-22.966632437861822,-23.131066514863292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.684049308103454,-22.67819022242807,-23.131066514863292,-22.67819022242807,-23.13106651486329,-22.684049308103454,-20.75756223405434
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-22.966632437861822,-23.131066514863292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.684049308103454,-22.67819022242807,-23.131066514863292,-22.67819022242807,-23.13106651486329,-22.684049308103454,-20.75756223405434
t8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-22.966632437861822,-23.131066514863292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.684049308103454,-22.67819022242807,-23.131066514863292,-22.67819022242807,-23.13106651486329,-22.684049308103454,-20.75756223405434
t9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-22.966632437861822,-23.131066514863292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.684049308103454,-22.67819022242807,-23.131066514863292,-22.67819022242807,-23.13106651486329,-22.684049308103454,-20.75756223405434
t10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-22.966632437861822,-23.131066514863292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.684049308103454,-22.67819022242807,-23.131066514863292,-22.67819022242807,-23.13106651486329,-22.684049308103454,-20.75756223405434
t11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-22.966632437861822,-23.131066514863292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.684049308103454,-22.67819022242807,-23.131066514863292,-22.67819022242807,-23.13106651486329,-22.684049308103454,-20.75756223405434
t12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-22.966632437861822,-23.131066514863292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.684049308103454,-22.67819022242807,-23.131066514863292,-22.67819022242807,-23.13106651486329,-22.684049308103454,-20.75756223405434
t13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-22.966632437861822,-23.131066514863292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.684049308103454,-22.67819022242807,-23.131066514863292,-22.67819022242807,-23.13106651486329,-22.684049308103454,-21.37176337204395
t14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-22.966632437861822,-23.131066514863292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.684049308103454,-22.67819022242807,-23.131066514863292,-22.67819022242807,-23.13106651486329,-22.684049308103454,-21.37176337204395
t15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-22.966632437861822,-23.131066514863292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.684049308103454,-22.67819022242807,-23.131066514863292,-22.67819022242807,-23.13106651486329,-22.684049308103454,-21.37176337204395
t16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-22.966632437861822,-23.131066514863292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.684049308103454,-22.67819022242807,-23.131066514863292,-22.67819022242807,-23.13106651486329,-22.684049308103454,-21.37176337204395
t17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-22.966632437861822,-23.131066514863292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.684049308103454,-22.67819022242807,-23.131066514863292,-22.67819022242807,-23.13106651486329,-22.684049308103454,-21.37176337204395
t18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-22.966632437861822,-23.131066514863292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.684049308103454,-22.67819022242807,-23.131066514863292,-22.67819022242807,-23.13106651486329,-22.684049308103454,-21.37176337204395
t19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-22.966632437861822,-23.131066514863292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.684049308103454,-22.67819022242807,-23.131066514863292,-22.67819022242807,-23.13106651486329,-22.684049308103454,-21.37176337204395
t20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-22.966632437861822,-23.131066514863292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.684049308103454,-22.67819022242807,-23.131066514863292,-22.67819022242807,-23.13106651486329,-22.684049308103454,-21.37176337204395
t21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-22.966632437861822,-23.131066514863292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.684049308103454,-22.67819022242807,-23.131066514863292,-23.592931903823857,-23.131066514863285,-22.684049308103454,-21.37176337204395
t22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-22.966632437861822,-23.131066514863292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.684049308103454,-22.67819022242807,-23.131066514863292,-22.67819022242807,-23.131066514863285,-22.684049308103454,-21.37176337204395
t23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-22.966632437861822,-23.131066514863292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.684049308103454,-22.67819022242807,-23.131066514863292,-22.67819022242807,-23.131066514863285,-22.684049308103454,-21.37176337204395
t24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-22.966632437861822,-23.131066514863292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.684049308103454,-22.67819022242807,-23.131066514863292,-22.67819022242807,-23.13106651486329,-22.684049308103454,-21.37176337204395
t25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-22.966632437861822,-23.131066514863292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.684049308103454,-22.67819022242807,-23.131066514863292,-22.67819022242807,-23.13106651486329,-22.684049308103454,-21.37176337204395
t26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-22.966632437861822,-23.131066514863292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.684049308103454,-22.67819022242807,-23.131066514863292,-22.67819022242807,-23.13106651486329,-22.684049308103454,-22.684049308103447
t27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-22.966632437861822,-23.131066514863292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.684049308103454,-22.67819022242807,-23.131066514863292,-22.67819022242807,-23.13106651486329,-22.684049308103454,-22.684049308103447
t28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-22.966632437861822,-23.131066514863292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.684049308103454,-22.67819022242807,-23.131066514863292,-22.67819022242807,-23.13106651486329,-22.684049308103454,-22.684049308103447
