Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7,Load_MW_z8,Load_MW_z9,Load_MW_z10
50000,1,1.0,1.0,2000,1,168,8760.0,1,7564.2479188424495,2160.904109856658,1030.8800457722261,1774.492021485159,7475.61146332412,9703.042316390542,7876.896193354248,6559.326683246661,7611.023166479108,4164.385970381531
,2,0.9,0.04,1800,,,,2,7167.014560503682,2047.3935826851991,976.2360474234434,9020.863388467658,1103.7958961376278,8160.061071329838,7713.475872132531,10017.157239715003,7244.669421478151,9324.5376498153
,3,0.55,0.024,1100,,,,3,6969.448763234665,1990.63831909947,949.9648943711442,1642.0070066893131,3071.3093721300456,2805.960898479051,2645.127079178999,7765.6395440862625,3862.4048256442366,5561.10210645426
,4,0.2,0.003,400,,,,4,6909.548494913741,1973.8219447036981,941.5581253944083,5153.481495299976,3426.5044048603527,6377.10208356651,8919.283891717982,2478.008859253101,4666.979034599748,6607.321931422552
,,,,,,,,5,7062.977252367338,2017.964927492599,962.5750478362478,6989.960704961575,4003.1986180852714,3352.1668090924327,4584.071730567783,6376.003319737473,1468.0824953504093,2991.1941542130767
,,,,,,,,6,7569.502328344285,2163.0061566561294,1031.9308918943182,6550.654291847205,8799.812770545643,6226.066294622274,5986.385273882377,6830.2003751466,8950.34723438008,7982.658784792954
,,,,,,,,7,8772.762104264624,2505.639784969977,1195.862886940666,6037.873291900209,5769.07143225582,2797.5792381496058,1514.2845018198318,7390.938477757535,7762.423389948318,2227.4246382190754
,,,,,,,,8,9856.221343543113,2815.691687892017,1342.9813440335422,6585.570814796179,3743.379289928558,6166.780787526795,1126.1359322360265,3439.2665684621415,1681.988731146329,5761.297721924825
,,,,,,,,9,10439.460798246859,2981.753385050262,1422.8456493125323,760.865866940724,701.6282160703208,4300.589007200133,1698.8787431355531,7755.410432137484,8070.628050060104,2733.407068582867
,,,,,,,,10,10847.202975589298,3098.416982420928,1478.5404937834069,7162.640650865477,64.04452492612866,242.82925107658937,1955.0133876394636,6836.45025291718,3560.4398743168736,7875.261397725587
,,,,,,,,11,11163.518427599796,3188.8049947982004,1522.6760309112697,7794.912453374245,5402.555495310584,2660.925617152743,1791.2477721373193,5359.832120537603,4080.580245901042,3234.550126352895
,,,,,,,,12,11358.982461068079,3244.509234984194,1548.9471839635692,7086.472090247405,7050.768828625912,6625.4084458796115,3181.12876480466,1289.1901309684158,4251.702250496652,39.4141430985763
,,,,,,,,13,11466.172414905524,3274.98891357653,1563.6590296728566,6435.140680335666,9710.978341084447,1684.03819397348,9572.18777750558,510.21054359490756,6613.9562058349,1150.1980840664212
,,,,,,,,14,11570.209723041868,3305.4685921688665,1577.3200292600523,9630.78758041623,9669.086228871558,7106.669388993741,4182.721410626604,633.9675595962241,1274.4095643724195,3832.5976917677945
,,,,,,,,15,11571.260604942236,3306.519615568602,1577.3200292600523,7516.815983293848,2555.011385681442,7310.787318483841,7373.029968713332,9721.95289422622,6793.772860527538,6702.5108698107515
,,,,,,,,16,11578.616778244805,3307.570638968338,1578.3708753821443,1346.8292293207603,4538.186279471373,382.2826426532609,552.3260502483422,4253.221270703794,9109.392034645334,8296.515605727773
,,,,,,,,17,11591.22736104921,3310.723709167545,1580.4725676263283,6251.862480826501,2458.8405117348766,8294.192937092557,2386.7547805867043,2302.546674578212,6672.359273315368,9306.269647687228
,,,,,,,,18,11490.342698613968,3282.34607737468,1565.7607219170407,6527.097423350351,9882.010407873504,8013.529133691849,6502.414394086268,1660.4561737370855,6922.140487299518,911.3432492568952
,,,,,,,,19,11174.027246603468,3191.9580649974077,1522.6760309112697,578.4148817791031,8148.2241472200985,5343.363381043299,1207.8363322662703,4996.981897930987,7131.138871054362,7657.989590959874
,,,,,,,,20,10916.561181013527,3118.3864270159065,1487.9981088822346,4088.4538972257897,7466.3230129378935,1270.251917443075,5172.474964917079,6850.958811759991,2427.423802827127,1673.141385589226
