,1,2,3,4,5,6,7,8,9,10
1,0,317.2085335,503.6544232,601.7336301,487.2304632,608.3654284,2000,123,324,234
2,317.2085335,0,199.1662906,297.3093903,179.0475715,340.1791705,2000,245,245,653
3,503.6544232,199.1662906,0,98.84415185,157.8372178,332.62478,2000,244,243,123
4,601.7336301,297.3093903,98.84415185,0,216.2626645,357.9784705,2000,546,372,324
5,487.2304632,179.0475715,157.8372178,216.2626645,0,186.0922043,2000,245,215,623
6,608.3654284,340.1791705,332.62478,357.9784705,186.0922043,0,2000,351,152,245
7,2000,2000,2000,2000,2000,2000,0,512,632,772
8,123,245,244,546,245,351,512,0,125,356
9,324,245,243,372,215,152,632,125,0,783
10,234,653,123,324,623,245,772,356,783,0
