CO2_Pipelines,StartZone,EndZone,Max_No_Pipe,Existing_No_Pipe,Max_Flow_Tonne_p_Hr_Per_Pipe,CO2Pipe_Inv_Cost_per_mile_yr,Pipe_length_miles,CO2PipeCap_tonne_per_mile,Min_pipecap_stor_frac,len_bw_comp_mile,CO2PipeCompCapex,BoosterCompCapex_per_tonne_p_hr_yr,CO2PipeCompEnergy,BoosterCompEnergy_MWh_per_tonne
1,z1,z2,20,0,38.8,254652.74,123.0584,1.18,0.1,100,50804.11,50000,1,0.8
2,z1,z3,20,0,38.8,254652.74,196.5385,1.18,0.1,100,50804.11,50000,1,0.8
3,z1,z4,20,0,38.8,254652.74,196.5385,1.18,0.1,100,50804.11,50000,1,0.8
4,z1,z5,20,0,38.8,254652.74,245.5252333,1.18,0.1,100,50804.11,50000,1,0.8
5,z1,z6,20,0,38.8,254652.74,282.2652833,1.18,0.1,100,50804.11,50000,1,0.8
6,z1,z7,20,0,38.8,254652.74,319.0053333,1.18,0.1,100,50804.11,50000,1,0.8
7,z2,z3,20,0,38.8,254652.74,355.7453833,1.18,0.1,100,50804.11,50000,1,0.8
8,z2,z4,20,0,38.8,254652.74,392.4854333,1.18,0.1,100,50804.11,50000,1,0.8
9,z2,z5,20,0,38.8,254652.74,429.2254833,1.18,0.1,100,50804.11,50000,1,0.8
10,z2,z6,20,0,38.8,254652.74,465.9655333,1.18,0.1,100,50804.11,50000,1,0.8
11,z2,z7,20,0,38.8,254652.74,502.7055833,1.18,0.1,100,50804.11,50000,1,0.8
12,z3,z4,20,0,38.8,254652.74,539.4456333,1.18,0.1,100,50804.11,50000,1,0.8
13,z3,z5,20,0,38.8,254652.74,576.1856833,1.18,0.1,100,50804.11,50000,1,0.8
14,z3,z6,20,0,38.8,254652.74,612.9257333,1.18,0.1,100,50804.11,50000,1,0.8
15,z3,z7,20,0,38.8,254652.74,649.6657833,1.18,0.1,100,50804.11,50000,1,0.8
16,z4,z5,20,0,38.8,254652.74,686.4058333,1.18,0.1,100,50804.11,50000,1,0.8
17,z4,z6,20,0,38.8,254652.74,723.1458833,1.18,0.1,100,50804.11,50000,1,0.8
18,z4,z7,20,0,38.8,254652.74,759.8859333,1.18,0.1,100,50804.11,50000,1,0.8
19,z5,z6,20,0,38.8,254652.74,796.6259833,1.18,0.1,100,50804.11,50000,1,0.8
20,z5,z7,20,0,38.8,254652.74,833.3660333,1.18,0.1,100,50804.11,50000,1,0.8
21,z6,z7,20,0,38.8,254652.74,870.1060833,1.18,0.1,100,50804.11,50000,1,0.8
