Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_Tonne,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_H2_tonne_per_hr_z1,Load_H2_tonne_per_hr_z2,Load_H2_tonne_per_hr_z3,Load_H2_tonne_per_hr_z4,Load_H2_tonne_per_hr_z5,Load_H2_tonne_per_hr_z6,Load_H2_tonne_per_hr_z7,Load_H2_tonne_per_hr_z8,Load_H2_tonne_per_hr_z9
50000000,1,1,0,1,168,1,1,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,2,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,3,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,4,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,5,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,6,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,7,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,8,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,9,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,10,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,11,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,12,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,13,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,14,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,15,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,16,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,17,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,18,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,19,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,20,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,21,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,22,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,23,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,24,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,25,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,26,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,27,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,28,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,29,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,30,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,31,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
