Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7,Load_MW_z8,Load_MW_z9
9000,1,1,1,9000,1,168,8760,1,38947,35906,39880,47430,67482,62357,108217,83549,30118
,,,,,,,,2,37127,34245,38298,46260,64952,59507,105797,79189,28598
,,,,,,,,3,35287,32609,33845,45170,62986,58024,103262,77202,27261
,,,,,,,,4,33500,31276,32904,44304,61720,57290,101779,76236,26528
,,,,,,,,5,31998,30492,32336,43957,61316,56932,101506,76251,26317
,,,,,,,,6,30890,29938,32018,43790,61684,57131,102712,77315,26656
,,,,,,,,7,30171,29768,32056,44491,63084,58256,105603,79426,27516
,,,,,,,,8,29977,30050,32539,45939,64940,60320,108719,81362,28190
,,,,,,,,9,30336,31004,33554,47012,66660,61957,113294,83036,29343
,,,,,,,,10,31091,32392,34030,48395,68348,63468,116022,83624,30692
,,,,,,,,11,31366,33805,34407,49691,70055,64621,115901,83917,31724
,,,,,,,,12,32329,34868,34489,50121,71408,64738,115374,84247,32324
,,,,,,,,13,33281,35590,34594,50148,72521,64575,115827,84850,32785
,,,,,,,,14,34124,35616,34508,49963,72928,64397,115552,85135,32905
,,,,,,,,15,34365,35163,34298,49303,72697,63571,114368,85054,32806
,,,,,,,,16,34380,34679,33875,48502,72655,62657,112969,85672,33100
,,,,,,,,17,34229,34177,33565,48126,74042,62700,113156,89270,35660
,,,,,,,,18,34187,33771,33538,48472,79267,64712,118123,95912,38531
,,,,,,,,19,34452,34004,34392,51395,83416,69680,126673,98036,38412
,,,,,,,,20,36020,36511,37645,56110,83354,72946,126460,97518,37629
,,,,,,,,21,40925,38730,39976,56855,82363,73459,124246,96519,36541
,,,,,,,,22,41806,38454,39508,56669,80310,72849,120588,93789,34883
,,,,,,,,23,41134,37802,38813,56111,77639,71563,115874,90074,32744
,,,,,,,,24,40106,36713,37639,54404,73914,69090,109796,85527,30224
,,,,,,,,25,38476,35021,36719,52186,70560,66740,104335,81471,28006
,,,,,,,,26,35981,32840,36480,50398,68229,64887,101318,79006,26575
,,,,,,,,27,33350,31047,35877,49743,66883,64322,100559,78021,25798
,,,,,,,,28,31348,29982,34969,49833,66625,64652,101614,78489,25596
,,,,,,,,29,30098,29418,34564,50421,67451,65215,104368,80420,25980
,,,,,,,,30,29419,29329,34617,51947,69270,66966,110155,84039,27141
,,,,,,,,31,29264,29781,35241,55005,72776,70034,119334,89162,29030
,,,,,,,,32,29783,30859,36548,59130,76740,74309,126404,93066,30576
,,,,,,,,33,31056,32807,38352,61421,79518,77036,131988,95613,32292
,,,,,,,,34,32883,35085,39193,61861,81828,78105,136642,98607,34227
,,,,,,,,35,34003,36780,39811,61855,84387,78776,139301,101326,35758
,,,,,,,,36,35566,37888,40278,61432,85607,78713,139542,102553,36454
,,,,,,,,37,37146,38825,40582,60029,86004,77763,138143,102896,36674
,,,,,,,,38,38346,39376,40514,58424,85788,75944,135838,102802,36648
,,,,,,,,39,38602,39077,40015,56579,85169,74158,133702,102611,36597
,,,,,,,,40,38406,38276,39398,55086,84915,72799,132968,103287,37110
,,,,,,,,41,38203,37526,38951,54361,86227,72513,135937,107275,39887
,,,,,,,,42,38177,37112,39022,54879,91338,74372,147351,115980,43504
,,,,,,,,43,38302,37514,40052,58612,96009,80713,160162,118430,43371
,,,,,,,,44,39620,39828,43608,64073,96007,84905,162815,118202,42719
,,,,,,,,45,44233,41061,45553,65137,94407,85076,161906,116291,41204
,,,,,,,,46,44957,40578,45110,65306,92043,84606,158311,112698,38823
,,,,,,,,47,44093,39499,44268,64300,87995,82769,151962,106965,35656
,,,,,,,,48,42681,37802,42634,61590,83072,79469,145158,100943,32716
,,,,,,,,49,40329,35422,39934,58605,79429,76055,140585,96753,30670
,,,,,,,,50,37040,32588,37309,56850,77280,74071,138955,94484,29427
,,,,,,,,51,33858,30220,35675,56507,76462,73751,139027,93864,28887
,,,,,,,,52,31689,29007,34564,56923,76462,74207,141503,94443,28830
,,,,,,,,53,30534,28420,34243,58099,77497,75350,146348,96894,29636
,,,,,,,,54,29955,28328,34475,60765,81055,77751,156901,103135,32124
,,,,,,,,55,29945,28786,35352,65970,87773,82785,173144,113635,36844
,,,,,,,,56,30959,30400,37651,73411,94604,89941,183960,120150,39902
,,,,,,,,57,33500,33737,40894,75529,96841,92611,184175,120423,40720
,,,,,,,,58,37243,37638,42707,73041,96121,91080,181436,119899,41299
,,,,,,,,59,39418,39364,42796,69605,95822,88172,177896,120044,41745
,,,,,,,,60,40388,38905,42388,66483,95233,85024,173188,119886,41929
,,,,,,,,61,41213,38375,42280,63710,94506,82110,167667,119431,41909
,,,,,,,,62,41860,37733,42068,61341,93716,79648,162718,119286,41979
,,,,,,,,63,41952,37016,41578,59465,92761,77449,158557,118790,41920
,,,,,,,,64,41892,36573,41151,57849,91604,75296,156619,119000,42495
,,,,,,,,65,42068,36318,40910,57162,92211,74542,159702,122566,45170
,,,,,,,,66,42011,36155,40986,57704,97014,76512,172920,131432,48842
,,,,,,,,67,41636,36619,41789,61417,101564,82381,190552,134516,48940
,,,,,,,,68,42073,38580,44572,66372,101090,86451,195464,133504,48002
,,,,,,,,69,45900,39993,46123,66854,99202,86362,195905,131445,46281
,,,,,,,,70,46404,39640,45640,66588,96458,85672,192350,127076,43770
,,,,,,,,71,45359,38786,44757,64716,91768,83071,185262,120730,40467
,,,,,,,,72,43795,37491,42998,60987,86486,79030,177743,113955,37303
,,,,,,,,73,41338,35367,40244,57085,82063,74877,172940,109498,35194
,,,,,,,,74,38078,32735,37826,54722,79391,72682,171628,107088,34077
,,,,,,,,75,35094,30556,36058,53776,78167,71744,172454,106460,33430
,,,,,,,,76,33066,29334,35270,53477,77541,71374,174542,106816,33256
,,,,,,,,77,31792,28792,35050,53773,78182,72067,179240,108901,33909
,,,,,,,,78,31112,28730,35264,55496,81027,73615,189386,114730,36207
,,,,,,,,79,31101,29161,36305,59967,87268,78220,204604,124281,40819
