CO2_Storage,Zone,etaPCO2_MWh_p_tonne,RefCAPEX_per_y,RefFixedOM_per_y,RefCapacity_Mt_y,MaxCapacity_Mt_y,MinCapacity_Mt_y,CO2_Injection_Min_Output,CO2_Injection_Max_Output
GEO_SEQ_INJECT_1,1,0,372174,600000,7.3,730,0,0,0
GEO_SEQ_INJECT_2,2,0,372174,600000,7.3,730,0,0,0
GEO_SEQ_INJECT_3,3,0,372174,600000,7.3,730,0,0,1
GEO_SEQ_INJECT_4,4,0,372174,600000,7.3,730,0,0,0
GEO_SEQ_INJECT_5,5,0,372174,600000,7.3,730,0,0,0
GEO_SEQ_INJECT_6,6,0,372174,600000,7.3,730,0,0,1
GEO_SEQ_INJECT_7,7,0,372174,600000,7.3,730,0,0,0
GEO_SEQ_INJECT_8,8,0,372174,600000,7.3,730,0,0,0
GEO_SEQ_INJECT_9,9,0,372174,600000,7.3,730,0,0,1
GEO_SEQ_GAS_INJECT_1,1,0,2486799,3400000,7.3,730,0,0,0
GEO_SEQ_GAS_INJECT_2,2,0,2486799,3400000,7.3,730,0,0,0
GEO_SEQ_GAS_INJECT_3,3,0,2486799,3400000,7.3,730,0,0,0
GEO_SEQ_GAS_INJECT_4,4,0,2486799,3400000,7.3,730,0,0,0
GEO_SEQ_GAS_INJECT_5,5,0,2486799,3400000,7.3,730,0,0,0
GEO_SEQ_GAS_INJECT_6,6,0,2486799,3400000,7.3,730,0,0,0
GEO_SEQ_GAS_INJECT_7,7,0,2486799,3400000,7.3,730,0,0,0
GEO_SEQ_GAS_INJECT_8,8,0,2486799,3400000,7.3,730,0,0,0
GEO_SEQ_GAS_INJECT_9,9,0,2486799,3400000,7.3,730,0,0,0
