H2_Pipelines,z1,z2,z3,z4,z5,z6,z7,z8,z9,Max_No_Pipe,Existing_No_Pipe,Max_Flow_Tonne_p_Hr_Per_Pipe,H2Pipe_Inv_Cost_per_mile_yr,Pipe_length_miles,H2PipeCap_tonne_per_mile,Min_pipecap_stor_frac,len_bw_comp_mile,BoosterCompCapex_per_tonne_p_hr_yr,BoosterCompEnergy_MWh_per_tonne
1,1,-1,0,0,0,0,0,0,0,20,0,38.8,61133.42208,523.9891405,1.18,0,100,73000,0.5
2,1,0,-1,0,0,0,0,0,0,20,0,38.8,61133.42208,797.3212385,1.18,0,100,73000,0.5
3,0,1,-1,0,0,0,0,0,0,20,0,38.8,61133.42208,983.409271,1.18,0,100,73000,0.5
4,0,0,1,0,0,-1,0,0,0,20,0,38.8,61133.42208,473.1302693,1.18,0,100,73000,0.5
5,0,0,0,1,0,-1,0,0,0,20,0,38.8,61133.42208,1287.602782,1.18,0,100,73000,0.5
6,0,0,0,0,1,-1,0,0,0,20,0,38.8,61133.42208,804.3501523,1.18,0,100,73000,0.5
7,0,0,0,0,1,0,-1,0,0,20,0,38.8,61133.42208,199.0824665,1.18,0,100,73000,0.5
8,0,0,0,0,1,0,0,-1,0,20,0,38.8,61133.42208,1206.814272,1.18,0,100,73000,0.5
9,0,0,0,0,0,1,-1,0,0,20,0,38.8,61133.42208,1723.539245,1.18,0,100,73000,0.5
10,0,0,0,0,0,0,1,-1,0,20,0,38.8,61133.42208,566.3352478,1.18,0,100,73000,0.5
11,0,0,0,0,0,0,0,1,-1,20,0,38.8,61133.42208,596.8635916,1.18,0,100,73000,0.5
