Time_Index,Price_mmbtu_z1,Price_mmbtu_z2,Price_mmbtu_z3,Price_mmbtu_z4,Price_mmbtu_z5,Price_mmbtu_z6,Price_mmbtu_z7,Price_mmbtu_z8,Price_mmbtu_z9
1,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
2,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
3,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
4,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
5,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
6,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
7,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
8,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
9,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
10,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
11,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
12,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
13,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
14,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
15,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
16,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
17,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
18,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
19,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
20,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
21,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
22,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
23,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
24,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
25,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
26,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
27,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
28,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
29,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
30,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
31,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
32,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
33,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
34,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
35,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
36,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
37,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
38,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
39,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
40,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
41,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
42,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
43,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
44,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
45,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
46,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
47,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
48,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
49,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
50,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
51,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
52,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
53,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
54,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
55,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
56,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
57,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
58,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
59,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
60,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
61,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
62,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
63,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
64,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
65,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
66,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
67,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
68,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
69,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
70,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
71,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
72,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
73,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
74,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
75,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
76,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
77,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
78,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
79,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
80,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
81,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
82,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
