Syn_NG_Resource,Zone,mmbtu_syn_ng_p_tonne_co2,tonnes_h2_p_tonne_co2,mwh_p_tonne_co2,Inv_Cost_p_tonne_co2_p_hr_yr,Fixed_OM_cost_p_tonne_co2_hr_yr,Var_OM_cost_p_tonne_co2,CCS_Rate,MinCapacity_tonne_p_hr,MaxCapacity_tonne_p_hr
CA_Syn_NG_Plant,1,1.790763972,0.0934,0.036,10,20,30,0,0,-1
CA_Syn_NG_Plant_wCCS_Recycled_90pct,1,3.406676508,0.177680359,0.199784616,20,30,40,0,0,-1
NW_Syn_NG_Plant,2,1.790763972,0.0934,0.036,10,20,30,0,0,-1
NW_Syn_NG_Plant_wCCS_Recycled_90pct,2,3.406676508,0.177680359,0.199784616,20,30,40,0,0,-1
SW_Syn_NG_Plant,3,1.790763972,0.0934,0.036,10,20,30,0,0,-1
SW_Syn_NG_Plant_wCCS_Recycled_90pct,3,3.406676508,0.177680359,0.199784616,20,30,40,0,0,-1
TX_Syn_NG_Plant,4,1.790763972,0.0934,0.036,10,20,30,0,0,-1
TX_Syn_NG_Plant_wCCS_Recycled_90pct,4,3.406676508,0.177680359,0.199784616,20,30,40,0,0,-1
NCEN_Syn_NG_Plant,5,1.790763972,0.0934,0.036,10,20,30,0,0,-1
NCEN_Syn_NG_Plant_wCCS_Recycled_90pct,5,3.406676508,0.177680359,0.199784616,20,30,40,0,0,-1
CEN_Syn_NG_Plant,6,1.790763972,0.0934,0.036,10,20,30,0,0,-1
CEN_Syn_NG_Plant_wCCS_Recycled_90pct,6,3.406676508,0.177680359,0.199784616,20,30,40,0,0,-1
SE_Syn_NG_Plant,7,1.790763972,0.0934,0.036,10,20,30,0,0,-1
SE_Syn_NG_Plant_wCCS_Recycled_90pct,7,3.406676508,0.177680359,0.199784616,20,30,40,0,0,-1
MIDAT_Syn_NG_Plant,8,1.790763972,0.0934,0.036,10,20,30,0,0,-1
MIDAT_Syn_NG_Plant_wCCS_Recycled_90pct,8,3.406676508,0.177680359,0.199784616,20,30,40,0,0,-1
NE_Syn_NG_Plant,9,1.790763972,0.0934,0.036,10,20,30,0,0,-1
NE_Syn_NG_Plant_wCCS_Recycled_90pct,9,3.406676508,0.177680359,0.199784616,20,30,40,0,0,-1
