Conventional_ethanol_co2_per_mmbtu,Conventional_ethanol_price_per_mmbtu,Bio_ethanol_co2_per_mmbtu,Time_Index,Load_mmbtu_z1,Load_mmbtu_z2,Load_mmbtu_z3,Load_mmbtu_z4,Load_mmbtu_z5,Load_mmbtu_z6,Load_mmbtu_z7,Load_mmbtu_z8,Load_mmbtu_z9
0.0697,20.37,0.0697,1,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,2,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,3,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,4,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,5,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,6,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,7,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,8,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,9,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,10,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,11,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,12,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,13,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,14,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,15,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,16,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,17,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,18,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,19,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,20,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,21,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,22,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,23,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,24,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,25,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,26,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,27,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,28,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,29,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,30,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,31,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,32,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,33,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,34,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,35,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,36,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,37,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,38,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,39,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,40,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,41,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,42,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,43,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,44,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,45,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,46,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,47,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,48,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
