,Network_Zones,Network_Lines,z1,z2,z3,z4,z5,z6,z7,z8,z9,Line_Max_Flow_MW,transmission_path_name,distance_mile,Line_Loss_Percentage,Line_Max_Reinforcement_MW,Line_Reinforcement_Cost_per_MWyr,DerateCapRes_1,CapRes_1,CapRes_Excl_1,DerateCapRes_2,CapRes_2,CapRes_Excl_2,DerateCapRes_3,CapRes_3,CapRes_Excl_3,DerateCapRes_4,CapRes_4,CapRes_Excl_4,DerateCapRes_5,CapRes_5,CapRes_Excl_5,DerateCapRes_6,CapRes_6,CapRes_Excl_6,DerateCapRes_7,CapRes_7,CapRes_Excl_7,DerateCapRes_8,CapRes_8,CapRes_Excl_8,DerateCapRes_9,CapRes_9,CapRes_Excl_9
CA,z1,1,1,-1,0,0,0,0,0,0,0,6533,CA_to_NW,621.9057407,0.062190574,32665,71229,0.95,0,0,0.95,0,0,0.95,0,0,0.95,0,0,0.95,0,0,0.95,0,0,0.95,0,0,0.95,0,0,0.95,0,0
NW,z2,2,1,0,-1,0,0,0,0,0,0,11964,CA_to_SW,489.6278122,0.048962781,59820,56079,0.95,0,0,0.95,0,0,0.95,0,0,0.95,0,0,0.95,0,0,0.95,0,0,0.95,0,0,0.95,0,0,0.95,0,0
SW,z3,3,0,1,-1,0,0,0,0,0,0,4530,NW_to_SW,577.2681666,0.057726817,22650,40685,0.95,0,0,0.95,0,0,0.95,0,0,0.95,0,0,0.95,0,0,0.95,0,0,0.95,0,0,0.95,0,0,0.95,0,0
TX,z4,4,0,0,1,0,0,-1,0,0,0,610,SW_to_CEN,731.7039279,0.073170393,3050,59208,0.95,0,0,0.95,0,0,0.95,0,0,0.95,0,0,0.95,0,0,0.95,0,0,0.95,0,0,0.95,0,0,0.95,0,0
NCEN,z5,5,0,0,0,1,0,-1,0,0,0,2525,TX_to_CEN,494.3863776,0.049438638,12625,40004,0.95,0,0,0.95,0,0,0.95,0,0,0.95,0,0,0.95,0,0,0.95,0,0,0.95,0,0,0.95,0,0,0.95,0,0
CEN,z6,6,0,0,0,0,1,-1,0,0,0,9851,N_CEN_to_CEN,485.1825018,0.04851825,49255,33561,0.95,0,0,0.95,0,0,0.95,0,0,0.95,0,0,0.95,0,0,0.95,0,0,0.95,0,0,0.95,0,0,0.95,0,0
SE,z7,7,0,0,0,0,1,0,-1,0,0,3745,N_CEN_to_SE,889.8495049,0.08898495,18725,45280,0.95,0,0,0.95,0,0,0.95,0,0,0.95,0,0,0.95,0,0,0.95,0,0,0.95,0,0,0.95,0,0,0.95,0,0
MIDAT,z8,8,0,0,0,0,1,0,0,-1,0,9083,N_CEN_to_MID_AT,750.6158591,0.075061586,45415,51921,0.95,0,0,0.95,0,0,0.95,0,0,0.95,0,0,0.95,0,0,0.95,0,0,0.95,0,0,0.95,0,0,0.95,0,0
NE,z9,9,0,0,0,0,0,1,-1,0,0,4872,CEN_to_SE,779.9796301,0.077997963,24360,56993,0.95,0,0,0.95,0,0,0.95,0,0,0.95,0,0,0.95,0,0,0.95,0,0,0.95,0,0,0.95,0,0,0.95,0,0
,,10,0,0,0,0,0,0,1,-1,0,5552,SE_to_MID_AT,491.4512001,0.04914512,27760,35910,0.95,0,0,0.95,0,0,0.95,0,0,0.95,0,0,0.95,0,0,0.95,0,0,0.95,0,0,0.95,0,0,0.95,0,0
,,11,0,0,0,0,0,0,0,1,-1,1915,MID_AT_to_NE,473.6625536,0.047366255,9575,55639,0.95,0,0,0.95,0,0,0.95,0,0,0.95,0,0,0.95,0,0,0.95,0,0,0.95,0,0,0.95,0,0,0.95,0,0
