Global_conventional_jetfuel_price_per_mmbtu,Conventional_jetfuel_co2_per_mmbtu,Syn_jetfuel_co2_per_mmbtu,Bio_jetfuel_co2_per_mmbtu,Time_Index,Load_mmbtu_z1,Load_mmbtu_z2,Load_mmbtu_z3,Load_mmbtu_z4,Load_mmbtu_z5,Load_mmbtu_z6,Load_mmbtu_z7,Load_mmbtu_z8,Load_mmbtu_z9
21.31,0.0722,0.0722,0.0722,1,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,2,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,3,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,4,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,5,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,6,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,7,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,8,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,9,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,10,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,11,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,12,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,13,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,14,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,15,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,16,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,17,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,18,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,19,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,20,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,21,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,22,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,23,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,24,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,25,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,26,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,27,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,28,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,29,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,30,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,31,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,32,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,33,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,34,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,35,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,36,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,37,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,38,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,39,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,40,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,41,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,42,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,43,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,44,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,45,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,46,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,47,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,48,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,49,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,50,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,51,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,52,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,53,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,54,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,55,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,56,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,57,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,58,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,59,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,60,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,61,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,62,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,63,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,64,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,65,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,66,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,67,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,68,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,69,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,70,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,71,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,72,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,73,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,74,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,75,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,76,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,77,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,78,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,79,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,80,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,81,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,82,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,83,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,84,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,85,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,86,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,87,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,88,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,89,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,90,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,91,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,92,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,93,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,94,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,95,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,96,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,97,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,98,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,99,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,100,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,101,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,102,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,103,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,104,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,105,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,106,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,107,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,108,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,109,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,110,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,111,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,112,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,113,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,114,54187,16401,29348,27810,30573,11486,59290,32442,33624
