Resource,Zone,THERM,FUSION,MUST_RUN,STOR,FLEX,HYDRO,VRE,LDS,Num_VRE_Bins,New_Build,Existing_Cap_MW,Existing_Cap_MWh,Existing_Charge_Cap_MW,Max_Cap_MW,Max_Cap_MWh,Max_Charge_Cap_MW,Min_Cap_MW,Min_Cap_MWh,Min_Charge_Cap_MW,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,Inv_Cost_Charge_per_MWyr,Fixed_OM_Cost_per_MWyr,Fixed_OM_Cost_per_MWhyr,Fixed_OM_Cost_Charge_per_MWyr,Var_OM_Cost_per_MWh,Var_OM_Cost_per_MWh_In,Heat_Rate_MMBTU_per_MWh,Fuel,Cap_Size,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Up_Time,Down_Time,Ramp_Up_Percentage,Ramp_Dn_Percentage,Hydro_Energy_to_Power_Ratio,Min_Power,Self_Disch,Eff_Up,Eff_Down,Min_Duration,Max_Duration,Max_Flexible_Demand_Advance,Max_Flexible_Demand_Delay,Flexible_Demand_Energy_Eff,Reg_Max,Rsv_Max,Resource_Type,region,cluster,region.1
natural_gas_ccs_2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,121718.8923,0,0,39000,0,0,3.23,0,6.85,NGCCS,500,72.838,0.2,4,4,0.64,0.64,1,0,0,1,1,0,0,0,0,1,0.053333333,0.106666667,natural_gas_ccs,NE,1,NE
solar_pv_2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,22000,-1,-1,0,0,0,47750.67654,0,0,13000,0,0,0,0,0,None,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0.083333333,0.166666667,solar_pv,NE,1,NE
comm_solar_pv_2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,12000,-1,-1,0,0,0,65052.7413,0,0,10000,0,0,0,0,0,None,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0.083333333,0.166666667,comm_solar_pv,NE,1,NE
res_solar_pv_2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,6000,-1,-1,0,0,0,84545.89724,0,0,14000,0,0,0,0,0,None,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0.083333333,0.166666667,res_solar_pv,NE,1,NE
onshore_wind_2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,9501,-1,-1,0,0,0,69141.42204,0,0,23000,0,0,0,0,0,None,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0.083333333,0.166666667,onshore_wind,NE,1,NE
battery_2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,26512.91172,15483.54044,0,7000,3500,0,0,0,0,None,1,0,0,0,0,1,1,1,0,0,0.92,0.92,1,1000,0,0,1,0.083333333,0.166666667,battery,NE,1,NE
fixed_offshore_wind_2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,37446,-1,-1,5946,0,0,196688.21,0,0,71000,0,0,0,0,0,None,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0.083333333,0.166666667,fixed_offshore_wind,NE,1,NE
float_offshore_wind_2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,275338,-1,-1,0,0,0,318152.1046,0,0,61000,0,0,0,0,0,None,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0.083333333,0.166666667,floating_offshore_wind,NE,1,NE
natural_gas_2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,83008.64627,0,0,24000,0,0,1.61,0,6.16,NG,500,64.964,0.2,4,4,0.64,0.64,1,0,0,1,1,0,0,0,0,1,0.053333333,0.106666667,natural_gas,NE,1,NE
nuclear_2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,462097.7884,0,0,152000,0,0,2,0,10.54,nuclear,1000,463.82,0,36,36,0.25,0.25,1,0,0,1,1,0,0,0,0,1,0.020833333,0.041666667,nuclear,NE,1,NE
ror_hydro_2,1,0,0,1,0,0,0,0,0,0,0,1960.5,0,0,-1,-1,-1,0,0,0,295463.123,0,0,18700,0,0,0,0,0,None,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0.020833333,0.041666667,ror_hydro,NE,1,NE
pumped_hydro_2,1,0,0,0,1,0,0,0,1,0,-1,1798,21576,0,-1,-1,-1,0,0,0,454519.572,0,0,47000,0,0,0,0,0,None,1,0,0,0,0,1,1,1,0,0,0.9,0.9,1,12,0,0,1,0.020833333,0.041666667,pumped_hydro,NE,1,NE
