Time_Index,lignite,coal,ng,ngccus90,oil,biomass,uranium,None,ng_dac_solvent,ng_dac_sorbent
0,0.097,0.093,0.053,0.0053,0.075,0,0,0,0.053,0.053
1,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
2,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
3,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
4,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
5,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
6,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
7,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
8,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
9,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
10,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
11,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
12,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
13,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
14,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
15,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
16,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
17,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
18,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
19,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
20,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
21,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
22,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
23,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
24,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
25,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
26,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
27,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
28,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
29,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
30,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
31,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
32,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
33,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
34,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
35,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
36,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
37,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
38,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
39,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
40,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
41,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
42,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
43,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
44,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
45,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
46,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
47,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
48,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
49,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
50,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
51,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
52,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
53,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
54,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
55,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
56,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
57,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
58,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
59,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
60,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
61,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
62,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
63,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
64,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
65,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
66,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
67,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
68,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
69,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
70,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
71,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
72,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
73,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
74,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
75,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
76,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
77,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
78,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
79,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
80,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
81,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
82,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
83,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
84,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
85,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
86,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
87,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
88,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
89,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
90,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
