Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7,Load_MW_z8,Load_MW_z9,Load_MW_z10
50000.0,1.0,1.0,1.0,2000.0,1.0,168.0,1.0,1,16844.595408921494,104966.36728486473,4448.04029417925,3410.6881407664223,91668.29526984421,1741.5034082185298,70821.13860088689,26289.60898540847,16583.742406526915,20812.39047317965
,2.0,0.9,0.04,1800.0,,,,2,16355.175552859908,101772.85892109909,4408.836590591126,3380.627350382596,88916.28418602177,1695.063116170259,68932.5667242572,25987.726200129495,16469.62377838858,20682.71021393154
,3.0,0.55,0.024,1100.0,,,,3,15946.562634783899,99091.6028227595,4363.850150167838,3346.1324473018412,86440.70486780937,1626.4492522948321,66142.26959332316,25867.558562942933,16437.10019969833,20645.751601783526
,4.0,0.2,0.003,400.0,,,,4,15022.293122325782,92468.9774519041,4155.330594843357,3186.2428942791826,78921.94001830698,1462.621867116525,59479.95592940534,24930.334468334935,16128.026602170812,19938.08649771356
,,,,,,,,5,13933.4011839706,86602.19609099386,3987.9835110487593,3057.923752288272,70780.80171485568,1295.8744182258574,52698.893007851526,23989.615885622796,15855.272756172473,19271.693838563115
,,,,,,,,6,13292.64430357952,80505.12881881004,3931.6304451377982,3014.7130975084888,67790.37996820347,1200.9460319735456,48838.47196692419,23548.554334799024,16118.393338963439,19214.249393945967
,,,,,,,,7,12901.747485030919,71066.63700187,3875.377175134583,2971.5789646791686,63469.95385269105,1106.52335077914,44998.616265018354,23496.040861716458,16546.10080694997,19165.612947247617
,,,,,,,,8,13447.902649880307,70855.63084130768,4040.547943823459,3098.2293420837127,65455.654013410734,1167.9839603083522,47498.014385872986,24578.307501044987,17005.080000475362,19687.180212617375
,,,,,,,,9,14029.988427492071,73991.35733314994,4152.762263196209,3184.273537503807,67327.67322939752,1266.2559691010656,51494.40941011,25246.724634884406,17316.21020881944,20040.73726755383
,,,,,,,,10,14823.579805608393,81922.39176500731,4398.204800191014,3372.4750588037114,71557.93051677,1457.1308149581575,59256.653141631745,26339.73788520457,17869.026932675795,21025.38319699748
,,,,,,,,11,15247.079635918382,84250.67031097283,4393.375276716888,3368.7718552917486,72338.96302836786,1528.2560368102488,62149.07883028345,26483.229198807087,17966.738980046404,21136.419614464085
,,,,,,,,12,15108.153423881182,85780.5478575759,4351.707421777297,3336.8215919635113,74527.48701222193,1605.1887810900696,65277.67709766283,26369.168965753986,17957.147487016224,21125.52019056615
,,,,,,,,13,14865.042242187821,87568.1900606793,4337.908322935653,3326.240657516031,73485.56392745854,1641.8161733056854,66767.19104776454,26337.31577034574,17943.161423199424,21109.626936228877
,,,,,,,,14,14626.690156915089,87316.25905890808,4338.149755730777,3326.4257844296067,71571.01915388509,1615.8792672305212,65712.4235340412,26291.24788773534,18032.680254225692,21211.35288057691
,,,,,,,,15,14591.112398773652,85774.42730179454,4356.62680088616,3340.5936953791406,70431.77592078263,1562.8985101604696,63557.87274652576,26364.72400515237,18433.12726331251,21666.406299993745
,,,,,,,,16,14121.092745296492,80057.554928475,4358.788591886665,3342.251323107443,67971.31259039909,1485.3498659925542,60404.227883697204,25901.336950702753,18655.892342759063,21563.103328848858
,,,,,,,,17,14752.978663871703,80454.64511152744,4600.508677164263,3527.598526306167,71843.75355560069,1537.1381703960342,62510.285596105394,26839.465672462073,19098.992102530327,22066.625783134383
,,,,,,,,18,15254.447253694505,82757.45959521094,4536.319901689768,3478.3795712603533,74109.1513846905,1582.975534627426,64374.33840818199,26544.60189690894,19032.49116966443,21991.056541241323
,,,,,,,,19,15289.63582207097,87782.07885928548,4375.410520985878,3354.9967599079,73659.34522945505,1586.6396635566143,64523.34631796898,26111.539773557124,18692.528052800568,21604.734817532386
,,,,,,,,20,15858.582113408147,95558.08746327196,4463.337096631148,3422.4174910563934,77988.76821885444,1677.315898076274,68210.84652176846,26864.40837640758,18555.520091511695,21983.711612750805
,,,,,,,,21,15494.914153605181,93135.41209553689,4279.490856757632,3281.4470527081503,77679.62111697538,1615.0355036981691,65678.11048372553,26279.4190543687,17913.52673778737,21254.173710791347
,,,,,,,,22,15794.013755014561,89606.61841095265,4104.859962904987,3147.5427984112457,81695.19246041885,1659.4574480243555,67484.60288632379,25527.503441628553,17240.33692270673,20489.185284563348
,,,,,,,,23,16003.564182784115,89067.34006640455,4023.29732159205,3085.001833164223,83044.6171826439,1572.8517825330052,63962.63915634221,24732.406697320548,16670.36113747347,19841.485528616457
,,,,,,,,24,17295.948720468437,106225.90390732873,4575.743716791025,3508.609139730221,96268.00636214849,1798.1012836422947,73122.78553478664,27077.369557244077,17230.79231208833,21725.897010211967
,,,,,,,,25,16540.425804345272,106921.58441883244,4661.458326249875,3574.3337695979617,97135.60584964906,1697.4624493506658,69030.13960692707,25546.621688116003,17077.35085397978,21500.776529386232
,,,,,,,,26,16032.28850442102,103004.92601392037,4622.453668385041,3544.4256043800497,94400.76265313246,1651.274008214414,67151.80966738617,25220.89405655721,16973.260932186935,21382.492527348906
,,,,,,,,27,15650.475581135817,100151.13399833586,4591.8374368238965,3520.949554031045,93179.73420761677,1584.3156071896713,64428.834692379955,25138.681718879845,16951.03668517665,21357.23770120085
,,,,,,,,28,14827.253950623412,93501.36411978336,4405.160164113551,3377.8083237195788,85886.0222594055,1416.6037519678298,57608.552580025076,24357.66275040072,16795.740201932982,20798.82584472414
,,,,,,,,29,14105.979044894755,88186.25156072437,4342.168119136899,3329.5070030130996,77954.40192131951,1248.174247758256,50759.086075502404,24015.871609764523,17020.131154530365,20671.87698352135
,,,,,,,,30,14074.026231085118,83520.19843996267,4544.697367844223,3484.803282057232,78857.01101012694,1168.6542525743344,47525.27293802293,24504.266962033038,17712.312055620256,21076.507609241864
,,,,,,,,31,13955.138915037032,77505.00128846291,4706.777874373392,3609.0840944841916,78266.13585838108,1113.25260758887,45272.272708614044,24998.12709255938,18156.675138446004,21008.557787812308
,,,,,,,,32,14369.303035673578,82967.76308837757,4893.698292404122,3752.4117648469783,81985.6362240232,1224.2615927538873,49786.63810532474,26253.068791189195,18540.2587548638,21444.448261014346
,,,,,,,,33,14744.745197038397,89324.71258563294,4942.611362095952,3789.9175462007843,83722.71484474308,1321.443396380897,53738.6981194898,26865.893883990826,18780.816286731,21717.809092681615
,,,,,,,,34,15395.815759810188,97861.35417789411,5178.704400297422,3970.9500171891896,86837.29753772178,1493.2379426066725,60725.009666004684,27992.33363817272,19246.789463375844,22629.262646205123
,,,,,,,,35,15696.355847818548,99527.47784642178,5138.864642754175,3940.4015105217536,86606.66974549588,1540.316035408811,62639.518773291646,28055.03302281159,19272.915294311348,22658.95109045001
,,,,,,,,36,15461.047840168101,101161.64711330764,5042.978641447965,3866.877615527239,87363.98379471166,1602.139604235896,65153.67723892644,28004.38237875421,19204.370705154874,22581.059511863106
,,,,,,,,37,15331.253860997764,102518.40856498234,5013.341650397228,3844.1524315766737,86973.06399345674,1626.9778205275359,66163.76470145312,28016.265051650265,19142.483773972846,22510.733453701716
,,,,,,,,38,15133.401734711417,101770.17062071129,4954.532934575475,3799.058822625012,85774.1148024244,1594.8778340259398,64858.36525038822,27998.531142858923,19159.597185986404,22530.180512808027
,,,,,,,,39,15101.719104010275,100186.59794828469,4881.6120504867795,3743.144222458061,84207.14466856986,1540.9194955817059,62664.059486989376,28103.033650612037,19367.84333506859,22766.823864037786
,,,,,,,,40,14568.62471667413,93750.88175702731,4799.478648351733,3680.1656066866653,81972.5538434268,1457.6214235060918,59276.60455591439,27625.745412081716,19416.942886165634,22440.68022840279
,,,,,,,,41,15228.860122071224,93334.41618957951,5101.216100692383,3911.533193817129,85992.19818054233,1515.4409122230086,61627.93043040234,28318.449061577114,19639.18059399527,22693.223078209197
,,,,,,,,42,15690.839677359389,94460.35618134977,5070.142782812748,3887.706656785748,88009.80033010039,1561.5754965033784,63504.070191137376,27792.615169102835,19455.96797521772,22485.02692050744
,,,,,,,,43,15538.068967998119,98523.117353226,4884.213751295465,3745.13916618769,86649.74578260834,1561.9515217819105,63519.36188579769,27128.535228537246,19078.322821934587,22055.88470086751
,,,,,,,,44,15905.900467528267,107343.7668807954,4951.908231809161,3797.046241351902,89883.04909319057,1663.5866772672944,67652.52487553665,27651.6524034788,18951.161387909284,22484.29094138849
