Syn_Fuel_Resource,Zone,Commit,mmbtu_sf_diesel_p_tonne_co2,mmbtu_sf_jetfuel_p_tonne_co2,mmbtu_sf_gasoline_p_tonne_co2,tonnes_h2_p_tonne_co2,mmbtu_ng_p_tonne_co2,mwh_p_tonne_co2,Inv_Cost_p_tonne_co2_p_hr_yr,Fixed_OM_cost_p_tonne_co2_hr_yr,Var_OM_cost_p_tonne_co2,mmbtu_p_tonne_co2_p1,price_p_mmbtu_p1,co2_out_p_mmbtu_p1,co2_out_p_co2_in,co2_captured_p_co2_in,Fuel,MinCapacity_tonne_p_hr,MaxCapacity_tonne_p_hr
sf_basic_z1,1,0,1.688,0,1.599,0.0934,0,0.0362,197487.5936,192744.0302,7.668,2.878,13.125,0.0722,0.545,0,None,0,100000
sf_basic_z2,2,0,1.688,0,1.599,0.0934,0,0.0362,197487.5936,192744.0302,7.668,2.878,13.125,0.0722,0.545,0,None,0,100000
sf_basic_z3,3,0,1.688,0,1.599,0.0934,0,0.0362,197487.5936,192744.0302,7.668,2.878,13.125,0.0722,0.545,0,None,0,100000
sf_basic_z4,4,0,1.688,0,1.599,0.0934,0,0.0362,197487.5936,192744.0302,7.668,2.878,13.125,0.0722,0.545,0,None,0,100000
sf_basic_z5,5,0,1.688,0,1.599,0.0934,0,0.0362,197487.5936,192744.0302,7.668,2.878,13.125,0.0722,0.545,0,None,0,100000
sf_basic_z6,6,0,1.688,0,1.599,0.0934,0,0.0362,197487.5936,192744.0302,7.668,2.878,13.125,0.0722,0.545,0,None,0,100000
sf_basic_z7,7,0,1.688,0,1.599,0.0934,0,0.0362,197487.5936,192744.0302,7.668,2.878,13.125,0.0722,0.545,0,None,0,100000
sf_basic_z8,8,0,1.688,0,1.599,0.0934,0,0.0362,197487.5936,192744.0302,7.668,2.878,13.125,0.0722,0.545,0,None,0,100000
sf_basic_z9,9,0,1.688,0,1.599,0.0934,0,0.0362,197487.5936,192744.0302,7.668,2.878,13.125,0.0722,0.545,0,None,0,100000
sf_basic_z10,10,0,1.688,0,1.599,0.0934,0,0.0362,197487.5936,192744.0302,7.668,2.878,13.125,0.0722,0.545,0,None,0,100000
sf_w_ccs_z1,1,0,1.688,0,1.599,0.0934,0,0.107,308827.2782,244335.5639,8.57,2.878,13.125,0.0722,0.0545,0.4905,None,0,100000
sf_w_ccs_z2,2,0,1.688,0,1.599,0.0934,0,0.107,308827.2782,244335.5639,8.57,2.878,13.125,0.0722,0.0545,0.4905,None,0,100000
sf_w_ccs_z3,3,0,1.688,0,1.599,0.0934,0,0.107,308827.2782,244335.5639,8.57,2.878,13.125,0.0722,0.0545,0.4905,None,0,100000
sf_w_ccs_z4,4,0,1.688,0,1.599,0.0934,0,0.107,308827.2782,244335.5639,8.57,2.878,13.125,0.0722,0.0545,0.4905,None,0,100000
sf_w_ccs_z5,5,0,1.688,0,1.599,0.0934,0,0.107,308827.2782,244335.5639,8.57,2.878,13.125,0.0722,0.0545,0.4905,None,0,100000
sf_w_ccs_z6,6,0,1.688,0,1.599,0.0934,0,0.107,308827.2782,244335.5639,8.57,2.878,13.125,0.0722,0.0545,0.4905,None,0,100000
sf_w_ccs_z7,7,0,1.688,0,1.599,0.0934,0,0.107,308827.2782,244335.5639,8.57,2.878,13.125,0.0722,0.0545,0.4905,None,0,100000
sf_w_ccs_z8,8,0,1.688,0,1.599,0.0934,0,0.107,308827.2782,244335.5639,8.57,2.878,13.125,0.0722,0.0545,0.4905,None,0,100000
sf_w_ccs_z9,9,0,1.688,0,1.599,0.0934,0,0.107,308827.2782,244335.5639,8.57,2.878,13.125,0.0722,0.0545,0.4905,None,0,100000
sf_w_ccs_z10,10,0,1.688,0,1.599,0.0934,0,0.107,308827.2782,244335.5639,8.57,2.878,13.125,0.0722,0.0545,0.4905,None,0,100000
sf_w_recy_z1,1,0,3.31275074,0,3.137686676,0.176643768,0,0.210738454,606137.9357,479559.4974,16.81648675,5.649182664,13.125,0.0722,0.106967615,0,None,0,100000
sf_w_recy_z2,2,0,3.31275074,0,3.137686676,0.176643768,0,0.210738454,606137.9357,479559.4974,16.81648675,5.649182664,13.125,0.0722,0.106967615,0,None,0,100000
sf_w_recy_z3,3,0,3.31275074,0,3.137686676,0.176643768,0,0.210738454,606137.9357,479559.4974,16.81648675,5.649182664,13.125,0.0722,0.106967615,0,None,0,100000
sf_w_recy_z4,4,0,3.31275074,0,3.137686676,0.176643768,0,0.210738454,606137.9357,479559.4974,16.81648675,5.649182664,13.125,0.0722,0.106967615,0,None,0,100000
sf_w_recy_z5,5,0,3.31275074,0,3.137686676,0.176643768,0,0.210738454,606137.9357,479559.4974,16.81648675,5.649182664,13.125,0.0722,0.106967615,0,None,0,100000
