table,zone,res,var,val
elec,1,wind,elec_cap_mw,12896.81257
elec,2,wind,elec_cap_mw,87646.13697
elec,3,wind,elec_cap_mw,60580.10462
elec,4,wind,elec_cap_mw,11589.74646
elec,5,wind,elec_cap_mw,159185.1053
elec,6,wind,elec_cap_mw,21495.41078
elec,7,wind,elec_cap_mw,215881.0552
elec,8,wind,elec_cap_mw,46234.37083
elec,9,wind,elec_cap_mw,3068.000014
elec,10,wind,elec_cap_mw,40407.94156
elec,1,solar,elec_cap_mw,4788.000037
elec,2,solar,elec_cap_mw,53302.00052
elec,3,solar,elec_cap_mw,562.9221614
elec,4,solar,elec_cap_mw,0
elec,5,solar,elec_cap_mw,76207.388
elec,6,solar,elec_cap_mw,322.7540645
elec,7,solar,elec_cap_mw,13147.24613
elec,8,solar,elec_cap_mw,7900.000016
elec,9,solar,elec_cap_mw,0.000338013
elec,10,solar,elec_cap_mw,0.000735054
elec,1,wind,elec_gen_mwh,27030453.93
elec,2,wind,elec_gen_mwh,147231129.9
elec,3,wind,elec_gen_mwh,163823037.3
elec,4,wind,elec_gen_mwh,37289595.72
elec,5,wind,elec_gen_mwh,277369599
elec,6,wind,elec_gen_mwh,41604721
elec,7,wind,elec_gen_mwh,516558628.5
elec,8,wind,elec_gen_mwh,118833487.1
elec,9,wind,elec_gen_mwh,3776097.721
elec,10,wind,elec_gen_mwh,68389215.39
elec,1,solar,elec_gen_mwh,3300556.277
elec,2,solar,elec_gen_mwh,37420271.04
elec,3,solar,elec_gen_mwh,386475.4835
elec,4,solar,elec_gen_mwh,0
elec,5,solar,elec_gen_mwh,65724205.59
elec,6,solar,elec_gen_mwh,172682.6671
elec,7,solar,elec_gen_mwh,7802480.59
elec,8,solar,elec_gen_mwh,5147175.025
elec,9,solar,elec_gen_mwh,0.15135035
elec,10,solar,elec_gen_mwh,0.472584566
h2,1,electrolyzer,h2_cap_mtonne_hr,65.45094696
h2,2,electrolyzer,h2_cap_mtonne_hr,0.000452284
h2,3,electrolyzer,h2_cap_mtonne_hr,351.9611157
h2,4,electrolyzer,h2_cap_mtonne_hr,3.36E-05
h2,5,electrolyzer,h2_cap_mtonne_hr,59.85357333
h2,6,electrolyzer,h2_cap_mtonne_hr,14.36893443
h2,7,electrolyzer,h2_cap_mtonne_hr,244.5448359
h2,8,electrolyzer,h2_cap_mtonne_hr,4.71E-05
h2,9,electrolyzer,h2_cap_mtonne_hr,22.07144722
h2,10,electrolyzer,h2_cap_mtonne_hr,25.49434376
h2,1,smr,h2_cap_mtonne_hr,38.5236287
h2,2,smr,h2_cap_mtonne_hr,569.3113169
h2,3,smr,h2_cap_mtonne_hr,409.1342034
h2,4,smr,h2_cap_mtonne_hr,3.895063866
h2,5,smr,h2_cap_mtonne_hr,95.76587415
h2,6,smr,h2_cap_mtonne_hr,2.37926E-05
h2,7,smr,h2_cap_mtonne_hr,375.0317103
h2,8,smr,h2_cap_mtonne_hr,0.003907392
h2,9,smr,h2_cap_mtonne_hr,35.31443412
h2,10,smr,h2_cap_mtonne_hr,40.79095379
h2,1,electrolyzer,h2_gen_mtonne,290799.9333
h2,2,electrolyzer,h2_gen_mtonne,1.75732629
h2,3,electrolyzer,h2_gen_mtonne,1.75E+06
h2,4,electrolyzer,h2_gen_mtonne,0.144115701
h2,5,electrolyzer,h2_gen_mtonne,265488.8095
h2,6,electrolyzer,h2_gen_mtonne,81549.71328
h2,7,electrolyzer,h2_gen_mtonne,1.29E+06
h2,8,electrolyzer,h2_gen_mtonne,0.206133854
h2,9,electrolyzer,h2_gen_mtonne,105320.8935
h2,10,electrolyzer,h2_gen_mtonne,126586.8317
h2,1,smr,h2_gen_mtonne,251367.1961
h2,2,smr,h2_gen_mtonne,4626239.192
h2,3,smr,h2_gen_mtonne,2674016.131
h2,4,smr,h2_gen_mtonne,24834.93992
h2,5,smr,h2_gen_mtonne,678283.229
h2,6,smr,h2_gen_mtonne,0.151296223
h2,7,smr,h2_gen_mtonne,2437268.805
h2,8,smr,h2_gen_mtonne,26.06520386
h2,9,smr,h2_gen_mtonne,242702.4803
h2,10,smr,h2_gen_mtonne,275408.0033
